ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,4,5,0,0,1,,1,S,0,S,19,0.008206,0.795439,0.006527
1,2,2,1,0,0,1,,1,S,0,S,14,0.750185,0.034135,0.025607
1,3,6,8,0,0,1,,2,S,0,S,15,0.004154,0.79285,0.003293
1,4,1,2,0,0,1,,1,S,0,S,19,0.043265,0.75663,0.032735
1,5,7,2,0,0,1,,5,S,0,S,14,0.795547,0.000331,0.000263
1,6,7,5,0,0,1,,2,S,0,S,17,0.783605,0.016054,0.01258
1,7,1,4,0,0,1,,3,S,0,S,14,0.035588,0.751178,0.026733
1,8,4,3,0,0,1,,1,S,0,S,25,0.763531,0.036609,0.027952
1,9,6,3,0,0,1,,3,S,0,S,17,0.786125,0.014346,0.011278
1,10,6,4,0,0,1,,2,S,0,S,19,0.770737,0.032405,0.024975
1,11,1,8,0,0,1,,7,L,0,S,12,0.016508,0.757251,0.012501
1,12,9,7,0,0,1,,2,S,0,S,15,0.761906,0.028841,0.021974
1,13,6,9,0,0,1,,3,S,0,S,16,0.025298,0.77052,0.019493
1,14,9,6,0,0,1,,3,S,0,S,17,0.780862,0.020606,0.01609
1,15,1,7,0,0,1,,6,S,0,S,13,0.017023,0.765423,0.01303
1,16,6,2,0,0,1,,4,S,0,S,14,0.75185,0.034166,0.025688
1,17,1,5,0,0,1,,4,S,0,S,14,0.028987,0.756236,0.021921
1,18,5,7,0,0,1,,2,S,0,S,18,0.027582,0.7719,0.02129
1,19,8,2,0,0,1,,6,S,0,S,13,0.768331,0.015935,0.012243
1,20,9,2,0,0,1,,7,L,0,S,12,0.760193,0.016364,0.01244
1,21,8,4,0,0,1,,4,S,0,S,15,0.773161,0.021725,0.016797
1,22,5,1,0,0,1,,4,S,0,S,13,0.772794,0.012249,0.009466
1,23,2,5,0,0,1,,3,S,0,S,17,0.029557,0.766574,0.022658
1,24,2,9,0,0,1,,7,L,0,S,14,0.01483,0.775239,0.011497
1,25,9,3,0,0,1,,6,S,0,S,13,0.771916,0.012315,0.009506
1,26,9,4,0,0,1,,5,S,0,S,13,0.75082,0.03076,0.023095
