ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,10,62,86.111111,NaN,NaN,18.016129,NaN,NaN,19.818182,20,17.888889,18.6,16.25,15.333333,15.25,14.5
2,72,15,57,79.166667,NaN,NaN,17.807018,NaN,NaN,17.285714,19.5,18.727273,17.9,16.428571,16.666667,17,15.5
3,72,13,59,81.944444,NaN,NaN,17.050847,NaN,NaN,18.8,17.818182,16.888889,16.222222,17.125,16.166667,15,15
4,72,10,62,86.111111,NaN,NaN,17.225806,NaN,NaN,20.416667,17.272727,17.909091,16.111111,16.625,14.4,14.25,14.5
5,72,10,62,86.111111,NaN,NaN,19.080645,NaN,NaN,22.090909,19.3,19.818182,18.6,18.25,17,16,15.5
6,72,7,65,90.277778,NaN,NaN,19.769231,NaN,NaN,23.928571,21,19.4,17.444444,18.125,17.166667,16.25,17
7,72,7,65,90.277778,NaN,NaN,17.107692,NaN,NaN,18.272727,18.75,18.166667,16.4,15.75,15,14.75,14.5
8,72,6,66,91.666667,NaN,NaN,19,NaN,NaN,22.307692,20.25,18.363636,18.4,17.625,16.333333,15.75,16.5
9,72,10,62,86.111111,NaN,NaN,17.467742,NaN,NaN,20.454545,17.8,18.272727,16.4,16.375,15.833333,15,14.5
10,72,8,64,88.888889,NaN,NaN,18.9375,NaN,NaN,22.8,20.769231,18.363636,18.2,17.25,16.333333,16,15
11,72,8,64,88.888889,NaN,NaN,18.234375,NaN,NaN,22.833333,19.181818,18,16.444444,16.625,15.833333,15,15
12,72,10,62,86.111111,NaN,NaN,18.080645,NaN,NaN,22.583333,18.181818,17.9,16.9,16,16.333333,15.5,15
13,72,3,69,95.833333,NaN,NaN,19.84058,NaN,NaN,23.357143,21.384615,19.666667,18.9,17.625,17.333333,16.25,14.5
14,72,8,64,88.888889,NaN,NaN,17.671875,NaN,NaN,20.545455,18.833333,17.818182,16.8,16.75,15.5,14.75,14.5
15,72,9,63,87.5,NaN,NaN,18.619048,NaN,NaN,22.076923,19.583333,18.333333,17.666667,17.25,16.333333,15.25,15
16,72,9,63,87.5,NaN,NaN,17.793651,NaN,NaN,21.090909,18.727273,18.75,16.555556,15.875,15.666667,15,14
17,72,8,64,88.888889,NaN,NaN,17.75,NaN,NaN,19.909091,18.727273,18.916667,17.5,16,15.5,15,14
18,72,16,56,77.777778,NaN,NaN,18.678571,NaN,NaN,22.818182,18.555556,20.666667,16.75,16.428571,16.333333,16,15.5
19,72,9,63,87.5,NaN,NaN,18.380952,NaN,NaN,22.25,19.7,18.181818,17.2,16.5,15.833333,16,15.5
20,72,9,63,87.5,NaN,NaN,17.396825,NaN,NaN,19.333333,19.307692,17.75,16.555556,16,15.166667,15.25,14.5
21,72,12,60,83.333333,NaN,NaN,17.633333,NaN,NaN,20.2,17.6,18,17.111111,17.875,15.666667,15,15.5
22,72,6,66,91.666667,NaN,NaN,17.378788,NaN,NaN,21.25,18.583333,17.666667,16.1,15.25,14.666667,14.5,14
23,72,7,65,90.277778,NaN,NaN,17.4,NaN,NaN,19.076923,18,18.454545,17.3,16.625,15.5,14.25,13
24,72,9,63,87.5,NaN,NaN,17.222222,NaN,NaN,19.1,19.5,17.363636,16.9,15.75,14.833333,14.25,14
25,72,11,61,84.722222,NaN,NaN,18.163934,NaN,NaN,22.666667,18.909091,17.5,16.25,16.875,16,15.5,15
26,72,10,62,86.111111,NaN,NaN,17.967742,NaN,NaN,20.166667,19.636364,17,18.4,16.875,16.5,14.75,13
27,72,8,64,88.888889,NaN,NaN,17.984375,NaN,NaN,20,19.416667,18.25,17.5,16.428571,16.333333,15,15.5
28,72,4,68,94.444444,NaN,NaN,18.720588,NaN,NaN,22.384615,20.923077,18.5,17.2,16.375,15.5,15.75,14.5
29,72,7,65,90.277778,NaN,NaN,17.384615,NaN,NaN,20.454545,18.833333,18,16.1,15.625,15,14.25,15
30,72,5,67,93.055556,NaN,NaN,18.641791,NaN,NaN,22.461538,19.75,18.833333,17.2,16.75,16.333333,15.5,14
TOTALS:,2160,264,1896,87.777778,NaN,NaN,18.09019,NaN,NaN,21.166181,19.245614,18.320122,17.208333,16.648305,15.888268,15.266667,14.783333
