ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,8,4,0,0,1,,4,S,0,S,16,0.752221,0.041915,0.03153
1,2,3,8,0,0,1,,5,S,0,S,13,0.020192,0.761654,0.015379
1,3,8,6,0,0,0,,2,S,0,S,17,0.019892,0.780874,0.015533
1,4,5,8,0,0,1,,3,S,0,S,15,0.032802,0.757705,0.024854
1,5,2,3,0,0,0,,1,S,0,S,41,0.781849,0.025256,0.019746
1,6,4,9,0,0,1,,5,S,0,S,15,0.02675,0.76448,0.02045
1,7,7,6,0,0,0,,1,S,0,S,16,0.005603,0.796761,0.004464
1,8,8,9,0,0,1,,1,S,0,S,25,0.01913,0.788653,0.015087
1,9,9,6,0,0,1,,3,S,0,S,20,0.755063,0.045664,0.034479
1,10,5,2,0,0,1,,3,S,0,S,15,0.775345,0.021401,0.016593
1,11,6,3,0,0,1,,3,S,0,S,19,0.794262,0.011747,0.00933
1,12,5,6,0,0,1,,1,S,0,S,15,0.02853,0.764755,0.021819
1,13,4,1,0,0,1,,3,S,0,S,15,0.773096,0.020393,0.015766
1,14,2,8,0,0,1,,6,S,0,S,14,0.019493,0.769432,0.014999
1,15,3,2,0,0,1,,1,S,0,S,26,0.750161,0.052531,0.039407
1,16,7,9,0,0,1,,2,S,0,S,18,0.045729,0.750333,0.034312
1,17,9,4,0,0,1,,5,S,0,S,14,0.775628,0.017893,0.013878
1,18,8,3,0,0,1,,5,S,0,S,16,0.792595,0.007421,0.005882
1,19,3,1,0,0,1,,2,S,0,S,17,0.791846,0.011777,0.009325
1,20,6,8,0,0,1,,2,S,0,S,15,0.016693,0.778011,0.012987
1,21,9,5,0,0,1,,4,S,0,S,14,0.770597,0.019165,0.014768
1,22,9,7,0,0,1,,2,S,0,S,15,0.75103,0.038228,0.028711
1,23,9,3,0,0,1,,6,S,0,S,14,0.792589,0.002244,0.001779
1,24,9,8,0,0,1,,1,S,0,S,20,0.769171,0.033102,0.025461
1,25,5,3,0,0,1,,2,S,0,S,17,0.752621,0.0422,0.031761
1,26,5,9,0,0,1,,4,S,0,S,18,0.014832,0.79038,0.011723
1,27,8,1,0,0,1,,7,L,0,S,13,0.767651,0.016216,0.012448
1,28,6,4,0,0,1,,2,S,0,S,22,0.772222,0.034659,0.026764
1,29,4,7,0,0,1,,3,S,0,S,16,0.016566,0.780307,0.012926
1,30,1,2,0,0,1,,1,S,0,S,23,0.026852,0.782331,0.021007
1,31,1,7,0,0,1,,6,S,0,S,14,0.023824,0.764584,0.018216
1,32,6,2,0,0,1,,4,S,0,S,15,0.751827,0.039355,0.029588
1,33,2,5,0,0,1,,3,S,0,S,20,0.032829,0.768946,0.025244
1,34,4,6,0,0,1,,2,S,0,S,14,0.012146,0.778891,0.00946
1,35,7,2,0,0,1,,5,S,0,S,15,0.78711,0.011469,0.009027
1,36,5,1,0,0,1,,4,S,0,S,14,0.790486,0.004735,0.003743
1,37,7,5,0,0,1,,2,S,0,S,18,0.750635,0.044646,0.033512
1,38,6,9,0,0,1,,3,S,0,S,17,0.018484,0.783263,0.014478
1,39,1,3,0,0,1,,2,S,0,S,17,0.010442,0.793053,0.008281
1,40,3,5,0,0,1,,2,S,0,S,16,0.029968,0.764539,0.022911
1,41,1,8,0,0,1,,7,L,0,S,13,0.012485,0.772674,0.009647
1,42,6,5,0,0,1,,1,S,0,S,22,0.774218,0.029883,0.023136
1,43,1,5,0,0,1,,4,S,0,S,16,0.009719,0.791274,0.00769
1,44,9,1,0,0,1,,8,L,0,S,12,0.763372,0.013911,0.01062
1,45,8,5,0,0,1,,3,S,0,S,17,0.795606,0.00709,0.005641
1,46,8,2,0,0,1,,6,S,0,S,14,0.77055,0.020105,0.015492
1,47,5,4,0,0,1,,1,S,0,S,19,0.755795,0.045845,0.034649
1,48,8,7,0,0,1,,1,S,0,S,22,0.771337,0.031323,0.02416
1,49,2,6,0,0,1,,4,S,0,S,14,0.016547,0.77472,0.012819
1,50,7,4,0,0,1,,3,S,0,S,18,0.755241,0.044095,0.033302
1,51,1,9,0,0,1,,8,L,0,S,14,0.008228,0.785722,0.006465
1,52,6,1,0,0,1,,5,S,0,S,14,0.776063,0.015535,0.012056
1,53,2,7,0,0,1,,5,S,0,S,16,0.025759,0.770242,0.01984
1,54,3,9,0,0,1,,6,S,0,S,14,0.018618,0.771377,0.014361
1,55,2,1,0,0,1,,1,S,0,S,15,0.786001,0.011598,0.009116
1,56,5,7,0,0,1,,2,S,0,S,19,0.046935,0.750518,0.035226
1,57,6,7,0,0,1,,1,S,0,S,18,0.030744,0.768887,0.023639
1,58,4,8,0,0,1,,4,S,0,S,14,0.015001,0.773723,0.011606
1,59,2,9,0,0,1,,7,L,0,S,15,0.034072,0.756691,0.025782
1,60,3,6,0,0,1,,3,S,0,S,13,0.017981,0.76598,0.013773
1,61,2,4,0,0,1,,2,S,0,S,20,0.021318,0.787212,0.016782
1,62,4,2,0,0,1,,2,S,0,S,18,0.796147,0.010012,0.007971
1,63,7,8,0,0,1,,1,S,0,S,16,0.010341,0.789231,0.008161
1,64,3,7,0,0,1,,4,S,0,S,15,0,0.799502,0
1,65,9,2,0,0,1,,7,L,0,S,13,0.786141,0.004258,0.003348
1,66,4,3,0,0,0,,1,S,0,S,24,0.041043,0.759212,0.03116
1,67,4,5,0,0,1,,1,S,0,S,19,0.037484,0.760067,0.02849
1,68,7,1,0,0,1,,6,S,0,S,14,0.797496,0,0
1,69,1,6,0,0,1,,5,S,0,S,13,0.010398,0.776797,0.008077
1,70,3,4,0,0,1,,1,S,0,S,16,0.024876,0.77469,0.019271
1,71,7,3,0,0,1,,4,S,0,S,17,0.778458,0.021074,0.016405
1,72,1,4,0,0,1,,3,S,0,S,15,0.041648,0.750231,0.031246
2,1,7,8,0,0,0,,1,S,0,S,18,0.752743,0.045969,0.034603
2,2,2,6,0,0,1,,4,S,0,S,14,0.019386,0.770751,0.014942
2,3,9,4,0,0,1,,5,S,0,S,14,0.776089,0.017175,0.01333
2,4,3,5,0,0,1,,2,S,0,S,19,0.027359,0.778735,0.021306
2,5,9,2,0,0,1,,7,L,0,S,15,0.789713,0.010025,0.007917
2,6,3,6,0,0,1,,3,S,0,S,16,0.034594,0.759524,0.026275
2,7,2,1,0,0,1,,1,S,0,S,21,0.793512,0.017619,0.013981
2,8,7,1,0,0,1,,6,S,0,S,13,0.788045,0.002184,0.001721
2,9,6,7,0,0,1,,1,S,0,S,19,0.010634,0.791522,0.008417
2,10,8,9,0,0,1,,1,S,0,S,17,0.034261,0.76065,0.026061
2,11,8,7,0,0,1,,1,S,0,S,29,0.756453,0.042956,0.032494
2,12,2,8,0,0,1,,6,S,0,S,13,0.031799,0.75113,0.023885
2,13,8,3,0,0,1,,5,S,0,S,14,0.758144,0.028511,0.021616
2,14,4,7,0,0,1,,3,S,0,S,18,0.013731,0.786917,0.010805
2,15,8,2,0,0,1,,6,S,0,S,16,0.791583,0.008721,0.006903
2,16,1,2,0,0,1,,1,S,0,S,15,0.036519,0.754773,0.027564
2,17,4,6,0,0,1,,2,S,0,S,18,0.016563,0.784512,0.012994
2,18,2,7,0,0,1,,5,S,0,S,14,0.018771,0.770497,0.014463
2,19,3,8,0,0,1,,5,S,0,S,15,0.025291,0.771267,0.019506
2,20,6,8,0,0,1,,2,S,0,S,17,0.007482,0.797025,0.005963
