ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,3,69,95.833333,NaN,NaN,16.942029,NaN,NaN,21,17.769231,17.166667,15.6,14.5,14.166667,13.75,13
2,72,0,72,100,NaN,NaN,17.263889,NaN,NaN,21.25,18.571429,16.75,15.7,15.125,14.166667,13.5,12.5
3,72,3,69,95.833333,NaN,NaN,17.608696,NaN,NaN,21.153846,18.857143,18.333333,16.1,15.125,14.833333,14.25,14
4,72,1,71,98.611111,NaN,NaN,17.859155,NaN,NaN,21.533333,19.5,17.583333,16.4,15.5,14.666667,14.5,13.5
5,72,5,67,93.055556,NaN,NaN,16.910448,NaN,NaN,20.076923,18,17.25,15.8,15.25,14.333333,14,13.5
6,72,4,68,94.444444,NaN,NaN,17.426471,NaN,NaN,21.615385,19,17.083333,16,15.125,14.5,14,14
7,72,1,71,98.611111,NaN,NaN,18.253521,NaN,NaN,22.933333,19.285714,17.416667,16.7,15.875,15.166667,14.75,14.5
8,72,1,71,98.611111,NaN,NaN,17.338028,NaN,NaN,21.4,18.5,17,15.9,15.125,14.333333,13.75,13
9,72,4,68,94.444444,NaN,NaN,16.75,NaN,NaN,20.285714,17.583333,16.833333,15.7,15,14.166667,13.5,13
10,72,5,67,93.055556,NaN,NaN,17.19403,NaN,NaN,20.833333,18.615385,17.333333,15.8,15.25,14.5,14.5,13.5
11,72,4,68,94.444444,NaN,NaN,16.117647,NaN,NaN,19.466667,16.545455,16.083333,15.4,14.25,14,13,12.5
12,72,5,67,93.055556,NaN,NaN,16.940299,NaN,NaN,21.461538,18.153846,16.454545,15.4,14.5,14.333333,14,13.5
13,72,5,67,93.055556,NaN,NaN,17.686567,NaN,NaN,21.384615,18.583333,17.916667,16.8,15.75,15.166667,14.25,13.5
14,72,2,70,97.222222,NaN,NaN,16.471429,NaN,NaN,19.428571,18.071429,16.5,15.1,14.625,13.833333,13.25,13
15,72,1,71,98.611111,NaN,NaN,16.338028,NaN,NaN,19.333333,18.142857,15.916667,15.1,14.125,13.666667,13.5,12.5
16,72,2,70,97.222222,NaN,NaN,17.228571,NaN,NaN,21.6,18.615385,16.416667,15.9,14.75,14.333333,13.5,13
17,72,5,67,93.055556,NaN,NaN,17.597015,NaN,NaN,19.363636,20.5,17.666667,16.5,15.625,15,14.75,14
18,72,0,72,100,NaN,NaN,17.861111,NaN,NaN,22.5625,18.428571,17.25,16.3,15.5,14.833333,14.25,13.5
19,72,3,69,95.833333,NaN,NaN,16.608696,NaN,NaN,20.357143,18.230769,15.916667,15.5,14.375,13.666667,13.5,13.5
20,72,0,72,100,NaN,NaN,17.833333,NaN,NaN,21.9375,18.714286,17.416667,16.3,15.625,15,14.25,13.5
21,72,0,72,100,NaN,NaN,18.555556,NaN,NaN,24.4375,19.214286,17.5,16.4,15.75,15.166667,14.25,14
22,72,3,69,95.833333,NaN,NaN,16.666667,NaN,NaN,20.846154,17.785714,16.333333,15.2,14.625,14.166667,13.5,13
23,72,1,71,98.611111,NaN,NaN,18.126761,NaN,NaN,23.466667,19.928571,17,16.2,15,14.5,14,13.5
24,72,4,68,94.444444,NaN,NaN,17,NaN,NaN,19.846154,18.307692,17.5,16,15.25,14.5,13.75,13
25,72,2,70,97.222222,NaN,NaN,17.057143,NaN,NaN,20.666667,18,16.833333,16,15,14.333333,14,13
26,72,1,71,98.611111,NaN,NaN,16.366197,NaN,NaN,21.0625,17.307692,15.75,14.7,13.625,13.166667,12.75,12.5
27,72,1,71,98.611111,NaN,NaN,17.253521,NaN,NaN,21.0625,18.846154,16.5,15.8,14.875,14.333333,13.75,13.5
28,72,2,70,97.222222,NaN,NaN,16.7,NaN,NaN,20.214286,17.857143,16.75,15.4,14.5,14.166667,13.5,13
29,72,2,70,97.222222,NaN,NaN,17.457143,NaN,NaN,22.133333,17.923077,17.25,16,15.125,14.666667,13.75,13
30,72,8,64,88.888889,NaN,NaN,16.71875,NaN,NaN,21.583333,16.818182,16.545455,15.5,14.875,14.666667,13.75,13.5
TOTALS:,2160,78,2082,96.388889,NaN,NaN,17.210375,NaN,NaN,21.189696,18.423174,16.944134,15.84,14.9875,14.411111,13.858333,13.3
