ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Size,Size,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,1,1,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1 vs 2,8 vs 9,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,4,68,94.444444,NaN,NaN,16.397059,NaN,NaN,19,22.5,19.692308,17.384615,16.666667,15.3,14.5,14,13.5,13
2,72,3,69,95.833333,NaN,NaN,16.797101,NaN,NaN,18,25,21.071429,18,16.416667,15.2,14.375,14.166667,13.75,13
3,72,4,68,94.444444,NaN,NaN,16.073529,NaN,NaN,19.5,15,19.416667,17.714286,15.916667,14.8,14.25,13.5,13.25,12.5
4,72,3,69,95.833333,NaN,NaN,17.130435,NaN,NaN,17.5,20,20.538462,19.142857,16.833333,15.7,14.875,14.333333,14,13.5
5,72,2,70,97.222222,NaN,NaN,16.971429,NaN,NaN,20,23.5,21.214286,18.357143,16.666667,15.5,14.625,14,13.25,12.5
6,72,1,71,98.611111,NaN,NaN,17.887324,NaN,NaN,16.5,25,21.266667,19.5,17.583333,16.5,15.75,15,14.75,13.5
7,72,1,71,98.611111,NaN,NaN,17.197183,NaN,NaN,23,19,21.333333,18.857143,16.75,15.5,14.75,13.833333,13.5,13
8,72,3,69,95.833333,NaN,NaN,16.666667,NaN,NaN,14.5,24.5,19.857143,18,17.75,15,14.375,13.833333,13.25,12
9,72,3,69,95.833333,NaN,NaN,17.434783,NaN,NaN,18.5,29.5,22.214286,18.615385,16.416667,15.9,15.375,14.333333,14.25,14
10,72,4,68,94.444444,NaN,NaN,15.808824,NaN,NaN,18.5,19,18.692308,16.923077,15.75,14.7,14.25,14,13.25,12.5
11,72,1,71,98.611111,NaN,NaN,17.112676,NaN,NaN,19,29,21.933333,17.857143,16.25,15.5,14.75,14.333333,13.75,13.5
12,72,2,70,97.222222,NaN,NaN,17.142857,NaN,NaN,17,23,21.666667,18.153846,17.083333,15.2,14.625,14,13.75,13
13,72,1,71,98.611111,NaN,NaN,17.746479,NaN,NaN,18,21,21.4,18.928571,17.416667,16.4,15.75,15,14.25,14
14,72,3,69,95.833333,NaN,NaN,16.681159,NaN,NaN,16,24.5,20.285714,18.230769,16.333333,15.6,14.75,13.666667,13.25,12.5
15,72,1,71,98.611111,NaN,NaN,16.971831,NaN,NaN,20,20,21.466667,18.285714,16.333333,15.2,14.375,13.833333,13.5,13.5
16,72,3,69,95.833333,NaN,NaN,17.333333,NaN,NaN,18,25,21.785714,18.153846,16.916667,15.9,15,14.5,14.5,14
17,72,5,67,93.055556,NaN,NaN,16.358209,NaN,NaN,15.5,24,19.5,17.230769,17,15.3,14.625,14.166667,13.25,13
18,72,3,69,95.833333,NaN,NaN,17.086957,NaN,NaN,18.5,21.5,21.214286,18.076923,16.583333,16,15.125,14.166667,13.75,13.5
19,72,3,69,95.833333,NaN,NaN,16.536232,NaN,NaN,21,NaN,20.153846,18.214286,16.833333,14.8,14.125,13.666667,13.25,13
20,72,0,72,100,NaN,NaN,17.805556,NaN,NaN,19.5,24,22.1875,18.928571,17.083333,16.3,15.25,14.5,14.25,14
21,72,5,67,93.055556,NaN,NaN,16.61194,NaN,NaN,20,15,19.769231,17.583333,16.833333,15.9,14.875,14.166667,13.5,13
22,72,0,72,100,NaN,NaN,17.555556,NaN,NaN,20.5,21,22.4375,18.214286,16.833333,15.7,15.125,14.5,14,13.5
23,72,2,70,97.222222,NaN,NaN,17.071429,NaN,NaN,16,NaN,20.571429,18.428571,16.75,15.8,15.25,14.5,13.5,13.5
24,72,2,70,97.222222,NaN,NaN,15.814286,NaN,NaN,18,26,19.285714,16.928571,15.5,14.6,13.875,13.333333,13,12.5
25,72,3,69,95.833333,NaN,NaN,17.173913,NaN,NaN,21.5,28.5,22.230769,18.5,16.583333,15.2,14.75,14.333333,13.75,13.5
26,72,4,68,94.444444,NaN,NaN,16.794118,NaN,NaN,19.5,18,20.833333,18.214286,16.5,15.5,14.75,14,13.75,13.5
27,72,6,66,91.666667,NaN,NaN,16.30303,NaN,NaN,21.5,NaN,20.461538,17,16,15.1,14.375,13.833333,13.5,13.5
28,72,4,68,94.444444,NaN,NaN,16.852941,NaN,NaN,19,34,20.923077,17.769231,16.583333,15.8,15.125,13.833333,13.75,13.5
29,72,2,70,97.222222,NaN,NaN,16.328571,NaN,NaN,18.5,17.5,21.133333,16.692308,15.75,14.9,14,13.666667,13,12.5
30,72,2,70,97.222222,NaN,NaN,17.4,NaN,NaN,21,20,21.533333,18.307692,17,15.7,15.375,14.5,14.5,14
TOTALS:,2160,80,2080,96.296296,NaN,NaN,16.908654,NaN,NaN,18.766667,22.902439,20.91866,18.08933,16.632312,15.483333,14.766667,14.116667,13.683333,13.216667
