ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Size,Size,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,1,1,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1 vs 2,8 vs 9,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,3,69,95.833333,NaN,NaN,17.304348,NaN,NaN,20,22.5,21.357143,18.076923,17.5,15.7,15.125,14.666667,14.25,13.5
2,72,0,72,100,NaN,NaN,17.458333,NaN,NaN,19,20.5,21.4375,18.785714,16.916667,15.8,15.375,14.166667,13.75,13.5
3,72,3,69,95.833333,NaN,NaN,18,NaN,NaN,18.5,24,21.538462,19.214286,18.416667,16.5,15.75,15.333333,15,14.5
4,72,1,71,98.611111,NaN,NaN,18.239437,NaN,NaN,15.5,22.5,22.066667,19.785714,17.833333,16.8,15.875,15.5,14.5,13.5
5,72,5,67,93.055556,NaN,NaN,17.089552,NaN,NaN,19,18,20.076923,18.166667,17.416667,16.2,15.5,14.666667,14,13.5
6,72,4,68,94.444444,NaN,NaN,17.735294,NaN,NaN,20,35,22,19.230769,17.416667,16.3,15.5,14.833333,14.25,14
7,72,1,71,98.611111,NaN,NaN,18.535211,NaN,NaN,22.5,24.5,23.066667,19.642857,17.666667,17,16.375,15.333333,15.25,14.5
8,72,1,71,98.611111,NaN,NaN,17.619718,NaN,NaN,19,23.5,21.733333,18.857143,17.25,16.1,15.375,14.666667,14,13
9,72,4,68,94.444444,NaN,NaN,17.191176,NaN,NaN,18.5,21,20.785714,18.166667,17.166667,15.9,15.5,14.5,14.25,13.5
10,72,5,67,93.055556,NaN,NaN,17.58209,NaN,NaN,19.5,26,21.25,19.076923,17.583333,16.2,15.625,14.833333,14.75,14.5
11,72,4,68,94.444444,NaN,NaN,16.470588,NaN,NaN,18,17,19.666667,17,16.416667,15.9,14.625,14.166667,13.75,12.5
12,72,5,67,93.055556,NaN,NaN,17.223881,NaN,NaN,18.5,31,21.769231,18.461538,17.090909,15.4,14.75,14.5,14,14
13,72,5,67,93.055556,NaN,NaN,17.985075,NaN,NaN,19,16,21.923077,19,18,16.8,16.25,15.333333,14.5,14
14,72,2,70,97.222222,NaN,NaN,16.728571,NaN,NaN,19.5,16,19.928571,18.357143,16.583333,15.3,14.75,14,13.5,13.5
15,72,1,71,98.611111,NaN,NaN,16.704225,NaN,NaN,18,18,19.6,18.714286,16.166667,15.4,14.5,14,13.75,13.5
16,72,2,70,97.222222,NaN,NaN,17.514286,NaN,NaN,19,26,21.933333,18.769231,16.833333,15.9,15.375,14.5,13.75,13.5
17,72,5,67,93.055556,NaN,NaN,17.955224,NaN,NaN,18,20,19.909091,20.857143,17.833333,17,16,15.166667,15,14.5
18,72,0,72,100,NaN,NaN,18.236111,NaN,NaN,21,24.5,23.125,18.785714,17.583333,16.5,15.875,15.166667,14.5,14
19,72,3,69,95.833333,NaN,NaN,16.869565,NaN,NaN,16,22,20.571429,18.461538,16.416667,15.5,14.625,14.166667,13.75,13.5
20,72,0,72,100,NaN,NaN,18.236111,NaN,NaN,20.5,26.5,22.25,19.142857,17.666667,16.9,16.125,15.333333,14.75,14
21,72,0,72,100,NaN,NaN,18.902778,NaN,NaN,19.5,26,24.75,19.714286,17.833333,16.8,15.875,15.333333,14.75,14.5
22,72,3,69,95.833333,NaN,NaN,16.985507,NaN,NaN,22.5,17,21.307692,18.071429,16.583333,15.7,14.75,14.333333,13.75,13.5
23,72,1,71,98.611111,NaN,NaN,18.450704,NaN,NaN,20.5,23,23.733333,20.214286,17.333333,16.7,15.375,14.833333,14,14
24,72,4,68,94.444444,NaN,NaN,17.323529,NaN,NaN,17,18,20.230769,18.692308,18,16.2,15.375,14.833333,14,13
25,72,2,70,97.222222,NaN,NaN,17.4,NaN,NaN,19,23.5,21.066667,18.307692,17.083333,16.3,15.25,14.833333,14.25,14
26,72,1,71,98.611111,NaN,NaN,16.647887,NaN,NaN,17.5,23.5,21.375,17.615385,15.833333,14.9,14.125,13.666667,13,12.5
27,72,1,71,98.611111,NaN,NaN,17.619718,NaN,NaN,20,26,21.4375,19.461538,16.916667,16,15.125,14.5,14.25,13.5
28,72,2,70,97.222222,NaN,NaN,17.042857,NaN,NaN,22.5,17.5,20.357143,18.142857,17.166667,15.9,14.875,14.5,14,13.5
29,72,2,70,97.222222,NaN,NaN,17.771429,NaN,NaN,19.5,22,22.333333,18.153846,17.5,16.6,15.5,15,14,13.5
30,72,8,64,88.888889,NaN,NaN,17.109375,NaN,NaN,16,21,21.916667,17.090909,16.818182,16.2,15.375,14.833333,14.25,14
TOTALS:,2160,78,2082,96.388889,NaN,NaN,17.536984,NaN,NaN,19.206897,22.333333,21.526932,18.768262,17.22905,16.146667,15.35,14.716667,14.183333,13.7
