ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,9,6,0,0,1,,3,S,0,S,14,0.798242,0,0
1,2,6,7,0,0,1,,1,S,0,S,16,0.006588,0.783939,0.005165
1,3,9,2,0,0,1,,7,L,0,S,11,0.812895,0,0
1,4,2,5,0,0,1,,3,S,0,S,13,0,0.785842,0
1,5,3,4,0,0,1,,1,S,0,S,14,0.02026,0.760713,0.015412
1,6,8,9,0,0,1,,1,S,0,S,19,0.029036,0.762428,0.022138
1,7,8,1,0,0,1,,7,L,0,S,10,0.766579,0,0
1,8,9,1,0,0,1,,8,L,0,S,10,0.786203,0,0
1,9,6,8,0,0,1,,2,S,0,S,13,0.017727,0.755671,0.013396
1,10,7,8,0,0,1,,1,S,0,S,16,0,0.794951,0
1,11,4,7,0,0,1,,3,S,0,S,13,0,0.789873,0
1,12,9,3,0,0,1,,6,S,0,S,11,0.772515,0,0
1,13,9,4,0,0,1,,5,S,0,S,12,0.803637,0,0
1,14,8,2,0,0,1,,6,S,0,S,11,0.786649,0,0
1,15,1,4,0,0,1,,3,S,0,S,12,0,0.800467,0
1,16,6,4,0,0,1,,2,S,0,S,15,0.797854,0,0
1,17,2,9,0,0,1,,7,L,0,S,11,0,0.782373,0
1,18,1,8,0,0,1,,7,L,0,S,10,0,0.768641,0
1,19,8,4,0,0,1,,4,S,0,S,12,0.758442,0.011492,0.008716
1,20,1,9,0,0,1,,8,L,0,S,10,0,0.76678,0
1,21,4,6,0,0,1,,2,S,0,S,13,0.002489,0.776322,0.001932
1,22,2,8,0,0,1,,6,S,0,S,11,0,0.785253,0
1,23,7,5,0,0,1,,2,S,0,S,14,0.781184,0.00271,0.002117
1,24,8,5,0,0,1,,3,S,0,S,13,0.769099,0.007195,0.005533
1,25,7,3,0,0,1,,4,S,0,S,12,0.773831,0,0
1,26,1,6,0,0,1,,5,S,0,S,11,0,0.803046,0
1,27,7,4,0,0,1,,3,S,0,S,13,0.784289,0,0
1,28,4,8,0,0,1,,4,S,0,S,12,0,0.789968,0
1,29,4,9,0,0,1,,5,S,0,S,12,0,0.785395,0
1,30,5,4,0,0,1,,1,S,0,S,16,0.773114,0.017808,0.013767
1,31,8,6,0,0,1,,2,S,0,S,16,0.781291,0.010346,0.008083
1,32,2,1,0,0,1,,1,S,0,S,13,0.773961,0.003258,0.002522
1,33,3,7,0,0,1,,4,S,0,S,12,0,0.792523,0
1,34,9,7,0,0,1,,2,S,0,S,14,0.768779,0.01335,0.010263
1,35,6,5,0,0,1,,1,S,0,S,17,0.781549,0.010021,0.007832
1,36,9,8,0,0,1,,1,S,0,S,18,0.769278,0.022754,0.017504
1,37,3,8,0,0,1,,5,S,0,S,11,0,0.77341,0
1,38,6,2,0,0,1,,4,S,0,S,12,0.792398,0,0
1,39,5,1,0,0,1,,4,S,0,S,11,0.77988,0,0
1,40,8,7,0,0,1,,1,S,0,S,17,0.764277,0.023548,0.017997
1,41,1,7,0,0,1,,6,S,0,S,11,0,0.807342,0
1,42,3,2,0,0,1,,1,S,0,S,16,0.769198,0.019049,0.014652
1,43,5,7,0,0,1,,2,S,0,S,14,0.024175,0.753214,0.018209
1,44,5,8,0,0,1,,3,S,0,S,13,0,0.790307,0
1,45,5,2,0,0,1,,3,S,0,S,12,0.770033,0.002546,0.00196
1,46,9,5,0,0,1,,4,S,0,S,12,0.770922,0.001126,0.000868
1,47,4,2,0,0,1,,2,S,0,S,13,0.750257,0.021669,0.016257
1,48,4,5,0,0,1,,1,S,0,S,16,0.003932,0.784982,0.003087
1,49,8,3,0,0,1,,5,S,0,S,12,0.795581,0,0
1,50,3,6,0,0,1,,3,S,0,S,12,0,0.784077,0
1,51,2,4,0,0,1,,2,S,0,S,14,0,0.798282,0
1,52,5,3,0,0,1,,2,S,0,S,14,0.783489,0.000987,0.000774
1,53,4,1,0,0,1,,3,S,0,S,12,0.796056,0,0
1,54,1,3,0,0,1,,2,S,0,S,12,0.01239,0.753037,0.00933
1,55,6,3,0,0,1,,3,S,0,S,13,0.770258,0.006403,0.004932
1,56,2,7,0,0,1,,5,S,0,S,12,0,0.80777,0
1,57,1,2,0,0,1,,1,S,0,S,14,0.016037,0.764803,0.012265
1,58,3,9,0,0,1,,6,S,0,S,11,0,0.770161,0
1,59,6,9,0,0,1,,3,S,0,S,14,0,0.798276,0
1,60,2,3,0,0,1,,1,S,0,S,16,0.006408,0.782638,0.005015
1,61,7,1,0,0,1,,6,S,0,S,10,0.755755,0,0
1,62,1,5,0,0,1,,4,S,0,S,11,0,0.760631,0
1,63,4,3,0,0,1,,1,S,0,S,17,0.751826,0.031285,0.023521
1,64,5,6,0,0,1,,1,S,0,S,15,0.01288,0.775076,0.009983
1,65,3,5,0,0,1,,2,S,0,S,13,0.01447,0.758718,0.010979
1,66,3,1,0,0,1,,2,S,0,S,13,0.799028,0,0
1,67,6,1,0,0,1,,5,S,0,S,11,0.793872,0,0
1,68,7,9,0,0,1,,2,S,0,S,16,0.017344,0.771814,0.013386
1,69,7,2,0,0,1,,5,S,0,S,11,0.771395,0,0
1,70,5,9,0,0,1,,4,S,0,S,13,0,0.782908,0
1,71,2,6,0,0,1,,4,S,0,S,12,0,0.800509,0
1,72,7,6,0,0,1,,1,S,0,S,19,0.786227,0.01111,0.008735
2,1,9,4,0,0,1,,5,S,0,S,12,0.796659,0,0
2,2,4,8,0,0,1,,4,S,0,S,12,0,0.776729,0
2,3,1,5,0,0,1,,4,S,0,S,11,0.001318,0.75735,0.000998
2,4,3,4,0,0,1,,1,S,0,S,15,0,0.794394,0
2,5,6,4,0,0,1,,2,S,0,S,13,0.752761,0.02116,0.015928
2,6,7,5,0,0,1,,2,S,0,S,13,0.750994,0.01879,0.014111
