ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,8,5,0,0,1,,3,S,0,S,13,0.753076,0.007045,0.005305
1,2,7,4,0,0,1,,3,S,0,S,13,0.767949,0,0
1,3,9,8,0,0,1,,1,S,0,S,18,0.753252,0.02228,0.016782
1,4,6,1,0,0,1,,5,S,0,S,11,0.777333,0,0
1,5,8,2,0,0,1,,6,S,0,S,11,0.770261,0,0
1,6,2,9,0,0,1,,7,L,0,S,11,0,0.766074,0
1,7,5,6,0,0,1,,1,S,0,S,15,0.012611,0.758928,0.009571
1,8,7,1,0,0,1,,6,S,0,S,11,0.801325,0,0
1,9,4,7,0,0,1,,3,S,0,S,13,0,0.773417,0
1,10,3,7,0,0,1,,4,S,0,S,12,0,0.776012,0
1,11,9,1,0,0,1,,8,L,0,S,10,0.769824,0,0
1,12,6,7,0,0,1,,1,S,0,S,16,0.006451,0.767607,0.004952
1,13,5,1,0,0,1,,4,S,0,S,11,0.763633,0,0
1,14,5,4,0,0,1,,1,S,0,S,16,0.757007,0.017437,0.0132
1,15,1,4,0,0,1,,3,S,0,S,12,0,0.783791,0
1,16,2,3,0,0,1,,1,S,0,S,16,0.006274,0.766333,0.004808
1,17,8,1,0,0,1,,7,L,0,S,10,0.750609,0,0
1,18,3,5,0,0,1,,2,S,0,S,14,0,0.7937,0
1,19,2,5,0,0,1,,3,S,0,S,13,0,0.76947,0
1,20,6,8,0,0,1,,2,S,0,S,14,0,0.790983,0
1,21,9,2,0,0,1,,7,L,0,S,11,0.795959,0,0
1,22,3,2,0,0,1,,1,S,0,S,16,0.753173,0.018652,0.014048
1,23,7,8,0,0,1,,1,S,0,S,16,0,0.778389,0
1,24,5,3,0,0,1,,2,S,0,S,14,0.767166,0.000967,0.000742
1,25,9,6,0,0,1,,3,S,0,S,14,0.781612,0,0
1,26,5,8,0,0,1,,3,S,0,S,13,0,0.773842,0
1,27,8,9,0,0,1,,1,S,0,S,20,0,0.790313,0
1,28,4,8,0,0,1,,4,S,0,S,12,0,0.77351,0
1,29,1,3,0,0,1,,2,S,0,S,13,0,0.791054,0
1,30,1,5,0,0,1,,4,S,0,S,12,0,0.801817,0
1,31,4,1,0,0,1,,3,S,0,S,12,0.779471,0,0
1,32,9,7,0,0,1,,2,S,0,S,14,0.752762,0.013072,0.00984
1,33,1,7,0,0,1,,6,S,0,S,11,0,0.790522,0
1,34,6,4,0,0,1,,2,S,0,S,15,0.781232,0,0
1,35,5,7,0,0,1,,2,S,0,S,15,0,0.786587,0
1,36,3,9,0,0,1,,6,S,0,S,11,0,0.754116,0
1,37,6,3,0,0,1,,3,S,0,S,13,0.754211,0.006269,0.004728
1,38,1,2,0,0,1,,1,S,0,S,15,0,0.797524,0
1,39,4,2,0,0,1,,2,S,0,S,14,0.785881,0,0
1,40,9,3,0,0,1,,6,S,0,S,11,0.756421,0,0
1,41,8,4,0,0,1,,4,S,0,S,13,0.796572,0,0
1,42,6,9,0,0,1,,3,S,0,S,14,0,0.781646,0
1,43,8,7,0,0,1,,1,S,0,S,18,0.793059,0,0
1,44,9,4,0,0,1,,5,S,0,S,12,0.786895,0,0
1,45,3,1,0,0,1,,2,S,0,S,13,0.782381,0,0
1,46,4,5,0,0,1,,1,S,0,S,16,0.00385,0.768628,0.002959
1,47,5,9,0,0,1,,4,S,0,S,13,0,0.766597,0
1,48,6,2,0,0,1,,4,S,0,S,12,0.775889,0,0
1,49,2,8,0,0,1,,6,S,0,S,11,0,0.768893,0
1,50,7,9,0,0,1,,2,S,0,S,16,0.016982,0.755734,0.012834
1,51,2,7,0,0,1,,5,S,0,S,12,0,0.790942,0
1,52,3,8,0,0,1,,5,S,0,S,11,0,0.757297,0
1,53,1,8,0,0,1,,7,L,0,S,10,0,0.752627,0
1,54,4,3,0,0,1,,1,S,0,S,18,0.781153,0,0
1,55,7,2,0,0,1,,5,S,0,S,11,0.755324,0,0
1,56,3,4,0,0,1,,1,S,0,S,15,0,0.793873,0
1,57,1,6,0,0,1,,5,S,0,S,11,0,0.786316,0
1,58,7,3,0,0,1,,4,S,0,S,12,0.757709,0,0
1,59,2,1,0,0,1,,1,S,0,S,13,0.757837,0.003191,0.002418
1,60,2,6,0,0,1,,4,S,0,S,12,0,0.783831,0
1,61,7,5,0,0,1,,2,S,0,S,14,0.76491,0.002653,0.00203
1,62,5,2,0,0,1,,3,S,0,S,12,0.753991,0.002493,0.001879
1,63,9,5,0,0,1,,4,S,0,S,12,0.754861,0.001102,0.000832
1,64,4,6,0,0,1,,2,S,0,S,13,0.002437,0.760148,0.001853
1,65,3,6,0,0,1,,3,S,0,S,12,0,0.767742,0
1,66,8,3,0,0,1,,5,S,0,S,12,0.779006,0,0
1,67,4,9,0,0,1,,5,S,0,S,12,0,0.769032,0
