ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Size,Size,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,1,1,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1 vs 2,8 vs 9,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,0,72,100,NaN,NaN,13.305556,NaN,NaN,14,19,16.5,14.214286,12.833333,12.1,11.5,11,10.5,10
2,72,0,72,100,NaN,NaN,13.416667,NaN,NaN,14.5,18,16.5625,14.285714,13,12.3,11.375,11.166667,11,10
3,72,0,72,100,NaN,NaN,13.458333,NaN,NaN,14,18,16.5,14.5,13,12.3,11.625,11.166667,10.75,10
4,72,0,72,100,NaN,NaN,13.444444,NaN,NaN,14.5,17.5,16.5625,14.214286,13.166667,12.1,11.75,11.166667,11,10
5,72,0,72,100,NaN,NaN,13.402778,NaN,NaN,14,18,16.375,14.357143,13,12.1,11.75,11.166667,11,10
6,72,0,72,100,NaN,NaN,13.527778,NaN,NaN,13.5,18.5,16.5625,14.428571,13.083333,12.3,11.75,11.5,11,10
7,72,0,72,100,NaN,NaN,13.5,NaN,NaN,13.5,18.5,16.5625,14.285714,13.083333,12.4,11.875,11.166667,10.75,10.5
8,72,0,72,100,NaN,NaN,13.597222,NaN,NaN,14.5,18.5,16.75,14.571429,13.25,12.3,11.625,11.166667,11,10.5
9,72,0,72,100,NaN,NaN,13.472222,NaN,NaN,14,18.5,16.625,14.285714,13.166667,12.1,11.75,11.333333,10.75,10
10,72,0,72,100,NaN,NaN,13.319444,NaN,NaN,14,19,16.5625,14.214286,12.916667,12,11.5,11,10.5,10
11,72,0,72,100,NaN,NaN,13.472222,NaN,NaN,14.5,19.5,16.6875,14.285714,13.166667,12.1,11.625,11.166667,11,10
12,72,0,72,100,NaN,NaN,13.402778,NaN,NaN,14.5,20,16.6875,14.285714,12.916667,12.2,11.375,11.166667,10.75,10
13,72,0,72,100,NaN,NaN,13.305556,NaN,NaN,14.5,18,16.3125,14.142857,12.916667,12.3,11.5,11.166667,10.5,10
14,72,0,72,100,NaN,NaN,13.597222,NaN,NaN,14,19.5,16.6875,14.357143,13.25,12.5,11.75,11.333333,11,10.5
15,72,0,72,100,NaN,NaN,13.472222,NaN,NaN,14.5,17.5,16.4375,14.214286,13.166667,12.3,11.875,11.166667,11,10.5
16,72,0,72,100,NaN,NaN,13.583333,NaN,NaN,14,20,16.8125,14.357143,13.083333,12.4,11.75,11.333333,11,10.5
17,72,0,72,100,NaN,NaN,13.486111,NaN,NaN,14.5,19,16.5,14.214286,13.083333,12.4,11.875,11.166667,11,10.5
18,72,0,72,100,NaN,NaN,13.277778,NaN,NaN,14.5,16.5,16.375,14.142857,12.833333,12.1,11.5,11,10.75,10
19,72,0,72,100,NaN,NaN,13.5,NaN,NaN,14,18,16.5625,14.428571,13,12.3,11.75,11.166667,11,10.5
20,72,0,72,100,NaN,NaN,13.333333,NaN,NaN,15,19,16.5625,14.214286,12.916667,12,11.5,11,10.75,10
21,72,0,72,100,NaN,NaN,13.583333,NaN,NaN,14,19.5,16.75,14.5,13.166667,12.3,11.75,11.333333,11,10
22,72,0,72,100,NaN,NaN,13.388889,NaN,NaN,14.5,20,16.5625,14.214286,13,12.1,11.5,11.166667,10.75,10.5
23,72,0,72,100,NaN,NaN,13.486111,NaN,NaN,14.5,18,16.5,14.357143,13.083333,12.4,11.625,11.166667,11,10.5
24,72,0,72,100,NaN,NaN,13.444444,NaN,NaN,14.5,19,16.5,14.285714,13.083333,12.3,11.625,11.333333,10.75,10
25,72,0,72,100,NaN,NaN,13.5,NaN,NaN,14.5,19.5,16.6875,14.285714,13.083333,12.3,11.75,11.166667,11,10
26,72,0,72,100,NaN,NaN,13.513889,NaN,NaN,14.5,20,16.75,14.285714,13,12.4,11.75,11.333333,10.75,10
27,72,0,72,100,NaN,NaN,13.569444,NaN,NaN,14.5,18.5,16.6875,14.428571,13.166667,12.5,11.625,11.333333,11,10
28,72,0,72,100,NaN,NaN,13.486111,NaN,NaN,14,17,16.4375,14.357143,13.166667,12.2,11.75,11.5,11,10
29,72,0,72,100,NaN,NaN,13.222222,NaN,NaN,14.5,20.5,16.5,13.928571,12.75,12,11.375,11.166667,10.5,10
30,72,0,72,100,NaN,NaN,13.458333,NaN,NaN,13,18.5,16.5,14.357143,13.166667,12.1,11.875,11.166667,10.75,10
TOTALS:,2160,0,2160,100,NaN,NaN,13.450926,NaN,NaN,14.233333,18.7,16.56875,14.3,13.05,12.24,11.654167,11.205556,10.85,10.15
