ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,1,2,1,9,1,C,1,S,8,L,7,0.252094,0.728823,0.183732
1,2,2,1,9,8,1,C,1,S,1,S,8,0.67678,0.340257,0.230279
1,3,1,8,1,2,1,C,7,L,1,S,6,0.223666,0.672406,0.150394
1,4,9,8,1,8,0,I,1,S,7,L,8,0.365019,0.683798,0.249599
1,5,8,2,8,9,1,I,6,S,1,S,7,0.666426,0.311375,0.207508
1,6,9,1,1,2,1,I,8,L,1,S,7,0.674044,0.336176,0.226597
1,7,8,1,9,1,1,C,7,L,8,L,6,0.751861,0.171379,0.128853
1,8,9,2,2,1,1,C,7,L,1,S,7,0.767653,0.225493,0.173101
1,9,9,8,9,1,1,C,1,S,8,L,7,0.663968,0.30439,0.202105
1,10,1,9,2,9,1,C,8,L,7,L,6,0.186649,0.729622,0.136184
1,11,8,1,2,9,1,I,7,L,7,L,8,0.67365,0.447995,0.301792
1,12,8,2,9,1,1,C,6,S,8,L,6,0.715605,0.194978,0.139527
1,13,2,9,1,2,1,C,7,L,1,S,7,0.228843,0.75748,0.173344
1,14,9,8,8,2,1,C,1,S,6,S,8,0.719381,0.317629,0.228496
1,15,9,1,8,1,1,C,8,L,7,L,6,0.764279,0.165911,0.126802
1,16,2,1,2,9,1,I,1,S,7,L,12,0.681225,0.616926,0.420265
1,17,9,2,2,8,1,I,7,L,6,S,8,0.659442,0.456283,0.300892
1,18,2,8,8,2,1,I,6,S,6,S,9,0.490939,0.69011,0.338802
1,19,9,1,9,1,1,C,8,L,8,L,6,0.768711,0.161991,0.124525
1,20,1,9,8,1,1,I,8,L,7,L,8,0.469902,0.659926,0.3101
1,21,1,8,9,2,1,I,7,L,7,L,8,0.446698,0.675107,0.301569
1,22,2,9,8,2,1,I,7,L,6,S,9,0.493774,0.68702,0.339233
1,23,1,9,9,2,1,I,8,L,7,L,8,0.448632,0.673138,0.301992
1,24,1,2,1,2,1,C,1,S,1,S,8,0.301558,0.723965,0.218317
1,25,1,2,9,1,0,I,1,S,8,L,10,0.671906,0.523737,0.351902
1,26,2,8,1,8,1,C,6,S,7,L,6,0.192366,0.718321,0.138181
1,27,9,2,1,2,1,I,7,L,1,S,8,0.711301,0.376977,0.268144
1,28,9,2,8,1,1,C,7,L,7,L,6,0.732392,0.186496,0.136588
1,29,1,8,2,8,1,C,7,L,6,S,6,0.187484,0.727448,0.136385
1,30,1,9,2,8,1,C,8,L,6,S,6,0.189245,0.72569,0.137334
1,31,2,8,9,2,1,I,6,S,7,L,9,0.498337,0.683821,0.340773
1,32,2,9,8,1,1,I,7,L,7,L,9,0.522975,0.666764,0.348701
1,33,1,9,2,1,1,I,8,L,1,S,7,0.329485,0.668386,0.220223
1,34,8,1,1,8,1,I,7,L,7,L,8,0.65331,0.478673,0.312722
1,35,8,9,8,2,0,I,1,S,6,S,8,0.655578,0.380093,0.249181
1,36,9,8,2,1,1,C,1,S,1,S,9,0.693216,0.370844,0.257075
1,37,1,9,1,2,1,C,8,L,1,S,6,0.225428,0.670649,0.151183
1,38,2,1,9,2,1,C,1,S,7,L,7,0.733388,0.244157,0.179062
1,39,2,9,2,8,1,C,7,L,6,S,6,0.213795,0.686179,0.146702
1,40,9,8,1,2,0,I,1,S,1,S,10,0.471196,0.653849,0.308091
1,41,8,9,1,2,1,C,1,S,1,S,9,0.365526,0.704463,0.257499
1,42,2,1,8,9,1,I,1,S,1,S,9,0.705509,0.380969,0.268777
1,43,1,8,1,8,1,C,7,L,7,L,6,0.168424,0.75711,0.127515
1,44,1,2,1,8,1,C,1,S,7,L,7,0.254168,0.725618,0.184429
1,45,2,9,2,1,1,I,7,L,1,S,8,0.37228,0.697192,0.259551
1,46,8,1,8,2,1,C,7,L,6,S,6,0.723964,0.190788,0.138123
1,47,2,8,9,1,1,I,6,S,8,L,9,0.525192,0.665371,0.349447
1,48,1,2,2,1,1,I,1,S,1,S,11,0.534483,0.667606,0.356824
1,49,1,2,8,1,0,I,1,S,7,L,10,0.667001,0.528172,0.352291
1,50,9,1,2,9,1,I,8,L,7,L,8,0.693051,0.436376,0.302431
1,51,9,8,2,8,0,I,1,S,6,S,9,0.39996,0.700994,0.28037
1,52,2,8,2,1,1,I,6,S,1,S,8,0.369503,0.700245,0.258742
1,53,8,2,8,1,1,C,6,S,7,L,6,0.711173,0.198897,0.14145
1,54,2,9,9,8,1,I,7,L,1,S,7,0.307172,0.666012,0.20458
1,55,2,9,9,2,1,I,7,L,7,L,9,0.501172,0.680731,0.341164
1,56,1,9,9,1,1,I,8,L,8,L,8,0.474971,0.655493,0.31134
1,57,2,8,2,9,1,C,6,S,7,L,6,0.208831,0.69259,0.144634
1,58,2,8,8,1,1,I,6,S,7,L,9,0.52014,0.669854,0.348417
1,59,1,2,9,8,1,I,1,S,1,S,9,0.409678,0.6581,0.269609
1,60,9,2,1,9,1,I,7,L,8,L,9,0.688616,0.516441,0.35563
1,61,8,9,9,8,1,I,1,S,1,S,14,0.54759,0.660626,0.361753
