ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,2,142,100,97.222222,2.777778,8.416667,16.014286,7.597619,0.172118,0.419116,0.246999
2,144,4,140,100,94.444444,5.555556,8.416667,15.426471,7.009804,0.170464,0.416586,0.246122
3,144,4,140,100,94.444444,5.555556,8.319444,15.426471,7.107026,0.169071,0.417978,0.248907
4,144,4,140,100,94.444444,5.555556,8.208333,15.544118,7.335784,0.164966,0.428865,0.263899
5,144,0,144,100,100,0,8.472222,16.680556,8.208333,0.17095,0.421324,0.250374
6,144,3,141,100,95.833333,4.166667,8.333333,15.971014,7.637681,0.168977,0.426759,0.257781
7,144,4,140,100,94.444444,5.555556,8.222222,15.382353,7.160131,0.170315,0.421432,0.251117
8,144,3,141,100,95.833333,4.166667,8.458333,16.057971,7.599638,0.171684,0.421904,0.25022
9,144,3,141,100,95.833333,4.166667,8.319444,15.652174,7.332729,0.169499,0.420522,0.251022
10,144,3,141,100,95.833333,4.166667,8.458333,15.623188,7.164855,0.171804,0.415255,0.243451
11,144,5,139,100,93.055556,6.944444,8.458333,15.686567,7.228234,0.172664,0.418872,0.246208
12,144,6,138,100,91.666667,8.333333,8.513889,15.484848,6.97096,0.171675,0.415244,0.243569
13,144,4,140,100,94.444444,5.555556,8.319444,15.117647,6.798203,0.169264,0.415646,0.246381
14,144,3,141,100,95.833333,4.166667,8.513889,15.681159,7.167271,0.174939,0.414903,0.239964
15,144,0,144,100,100,0,8.375,16.291667,7.916667,0.171564,0.422947,0.251382
16,144,5,139,100,93.055556,6.944444,8.541667,15.716418,7.174751,0.173591,0.416643,0.243052
17,144,4,140,100,94.444444,5.555556,8.388889,15.926471,7.537582,0.17261,0.422683,0.250072
18,144,0,144,100,100,0,8.291667,15.694444,7.402778,0.168965,0.415635,0.24667
19,144,2,142,100,97.222222,2.777778,8.472222,16,7.527778,0.17362,0.420921,0.247301
20,144,4,140,100,94.444444,5.555556,8.472222,15.558824,7.086601,0.173043,0.41259,0.239547
21,144,4,140,100,94.444444,5.555556,8.486111,15.764706,7.278595,0.172835,0.417795,0.24496
22,144,5,139,100,93.055556,6.944444,8.430556,15.656716,7.226161,0.173125,0.418368,0.245243
23,144,3,141,100,95.833333,4.166667,8.305556,15.985507,7.679952,0.169963,0.427147,0.257185
24,144,4,140,100,94.444444,5.555556,8.513889,15.544118,7.030229,0.175701,0.417414,0.241713
25,144,4,140,100,94.444444,5.555556,8.444444,15.426471,6.982026,0.172466,0.413595,0.241129
26,144,7,137,100,90.277778,9.722222,8.444444,15.184615,6.740171,0.170718,0.416513,0.245796
27,144,0,144,100,100,0,8.402778,16.680556,8.277778,0.17166,0.425828,0.254168
28,144,0,144,100,100,0,8.375,15.902778,7.527778,0.171634,0.41988,0.248246
29,144,7,137,100,90.277778,9.722222,8.361111,14.923077,6.561966,0.171739,0.409865,0.238125
30,144,2,142,100,97.222222,2.777778,8.416667,15.7,7.283333,0.169247,0.416098,0.246852
TOTALS:,4320,99,4221,100,95.416667,4.583333,8.405093,15.731684,7.326591,0.171362,0.418993,0.24763
