ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,8,2,8,1,1,C,6,S,7,L,9,0.813308,0.294861,0.239813
1,2,9,8,9,2,1,C,1,S,7,L,11,0.797734,0.372265,0.296968
1,3,1,2,8,2,0,I,1,S,6,S,11,0.755464,0.418447,0.316122
1,4,2,1,2,9,1,I,1,S,7,L,15,0.758536,0.588886,0.446691
1,5,1,9,9,1,1,I,8,L,8,L,14,0.578716,0.756623,0.43787
1,6,9,1,8,9,1,I,8,L,1,S,9,0.791317,0.316991,0.25084
1,7,1,9,2,1,1,I,8,L,1,S,11,0.38997,0.789711,0.307963
1,8,8,2,8,2,1,C,6,S,6,S,9,0.795142,0.308119,0.244998
1,9,9,2,9,8,1,C,7,L,1,S,9,0.776114,0.329367,0.255626
1,10,2,9,8,2,1,I,7,L,6,S,17,0.621333,0.756616,0.470111
1,11,9,8,1,9,0,I,1,S,8,L,13,0.476012,0.759771,0.361661
1,12,8,1,2,1,1,C,7,L,1,S,10,0.808368,0.336135,0.27172
1,13,1,8,8,1,1,I,7,L,7,L,13,0.553851,0.764055,0.423173
1,14,8,9,2,1,1,I,1,S,1,S,24,0.612875,0.763662,0.468029
1,15,8,1,1,9,1,I,7,L,8,L,13,0.77997,0.528666,0.412344
1,16,2,8,1,2,1,C,6,S,1,S,10,0.381601,0.752082,0.286996
1,17,1,9,8,2,1,I,8,L,6,S,14,0.571551,0.761332,0.43514
1,18,8,2,1,9,1,I,6,S,8,L,14,0.754052,0.573052,0.432111
1,19,1,9,2,8,1,C,8,L,6,S,9,0.321418,0.776507,0.249583
1,20,2,1,8,1,1,C,1,S,7,L,9,0.799419,0.30499,0.243815
1,21,1,8,1,8,1,C,7,L,7,L,9,0.297277,0.811669,0.241291
1,22,2,8,2,8,1,C,6,S,6,S,9,0.325278,0.769177,0.250197
1,23,9,1,9,2,1,C,8,L,7,L,8,0.770588,0.285698,0.220156
1,24,8,9,1,9,1,C,1,S,8,L,11,0.393169,0.774041,0.304329
1,25,9,2,2,1,1,C,7,L,1,S,9,0.752057,0.347445,0.261299
1,26,8,9,8,1,0,I,1,S,7,L,11,0.761697,0.413668,0.315089
1,27,8,1,8,9,1,I,7,L,1,S,10,0.817565,0.327575,0.267814
1,28,2,8,2,1,1,I,6,S,1,S,11,0.395344,0.780316,0.308493
1,29,9,2,8,9,1,I,7,L,1,S,9,0.758523,0.341221,0.258824
1,30,1,8,2,8,1,C,7,L,6,S,9,0.291087,0.817225,0.237884
1,31,2,8,8,2,1,I,6,S,6,S,14,0.577848,0.751382,0.434184
1,32,8,9,9,8,0,I,1,S,1,S,18,0.751446,0.546076,0.410347
1,33,1,8,2,1,1,I,7,L,1,S,10,0.371572,0.775376,0.288108
1,34,1,2,8,1,0,I,1,S,7,L,11,0.776099,0.403163,0.312894
1,35,8,2,2,1,1,C,6,S,1,S,10,0.756362,0.374939,0.283589
1,36,2,8,9,1,1,I,6,S,8,L,15,0.582372,0.774197,0.450871
1,37,1,8,9,2,1,I,7,L,7,L,12,0.513134,0.760434,0.390204
1,38,8,9,1,2,1,C,1,S,1,S,16,0.453891,0.769144,0.349108
1,39,2,8,8,1,1,I,6,S,7,L,15,0.593617,0.764245,0.453669
1,40,8,1,8,2,1,C,7,L,6,S,9,0.840745,0.273708,0.230119
1,41,9,8,8,9,1,I,1,S,1,S,13,0.758707,0.430599,0.326698
