ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,12,132,100,83.333333,16.666667,10.166667,13.25,3.083333,0.269403,0.378467,0.109064
2,144,8,136,100,88.888889,11.111111,9.972222,13.34375,3.371528,0.265635,0.383973,0.118338
3,144,16,128,94.444444,83.333333,11.111111,10.220588,14.55,4.329412,0.270805,0.402219,0.131414
4,144,7,137,100,90.277778,9.722222,9.708333,14.292308,4.583974,0.261392,0.406861,0.145469
5,144,16,128,91.666667,86.111111,5.555556,10.166667,13.483871,3.317204,0.270913,0.384521,0.113608
6,144,17,127,95.833333,80.555556,15.277778,10.231884,13.12069,2.888806,0.278263,0.381628,0.103365
7,144,15,129,98.611111,80.555556,18.055556,10.549296,14.672414,4.123118,0.282888,0.409023,0.126135
8,144,11,133,98.611111,86.111111,12.5,9.929577,13.064516,3.134939,0.26652,0.384099,0.117579
9,144,7,137,100,90.277778,9.722222,9.847222,14.184615,4.337393,0.262424,0.398978,0.136555
10,144,17,127,98.611111,77.777778,20.833333,9.859155,14.017857,4.158702,0.26567,0.413505,0.147835
11,144,0,144,100,100,0,9.791667,13.375,3.583333,0.262872,0.382699,0.119828
12,144,18,126,94.444444,80.555556,13.888889,10.132353,13.310345,3.177992,0.266802,0.386649,0.119848
13,144,11,133,97.222222,87.5,9.722222,9.8,14.238095,4.438095,0.264381,0.408969,0.144587
14,144,15,129,91.666667,87.5,4.166667,9.575758,12.539683,2.963925,0.258043,0.367364,0.109321
15,144,0,144,100,100,0,9.930556,13.680556,3.75,0.264545,0.380467,0.115922
16,144,17,127,100,76.388889,23.611111,10.069444,12.145455,2.07601,0.264934,0.365977,0.101042
17,144,15,129,98.611111,80.555556,18.055556,10.126761,14.206897,4.080136,0.273371,0.407959,0.134587
18,144,14,130,100,80.555556,19.444444,9.680556,14.586207,4.905651,0.259745,0.421952,0.162207
19,144,17,127,93.055556,83.333333,9.722222,9.716418,12.966667,3.250249,0.258168,0.384311,0.126143
20,144,12,132,100,83.333333,16.666667,10.472222,14,3.527778,0.275088,0.390578,0.11549
21,144,13,131,98.611111,83.333333,15.277778,10.380282,14.133333,3.753052,0.279364,0.399946,0.120582
22,144,16,128,97.222222,80.555556,16.666667,9.871429,13.224138,3.352709,0.260837,0.390315,0.129479
23,144,13,131,100,81.944444,18.055556,9.777778,14.355932,4.578154,0.263188,0.409663,0.146475
24,144,2,142,100,97.222222,2.777778,9.763889,13.742857,3.978968,0.264054,0.393377,0.129323
25,144,7,137,100,90.277778,9.722222,10.291667,13.953846,3.662179,0.27407,0.389121,0.115051
26,144,9,135,100,87.5,12.5,9.402778,12.412698,3.009921,0.248544,0.373662,0.125117
27,144,14,130,98.611111,81.944444,16.666667,10.309859,13.677966,3.368107,0.271909,0.383348,0.111439
28,144,9,135,100,87.5,12.5,9.513889,14.126984,4.613095,0.256197,0.40419,0.147993
29,144,20,124,94.444444,77.777778,16.666667,9.867647,12.285714,2.418067,0.266065,0.372321,0.106256
30,144,23,121,90.277778,77.777778,12.5,10.046154,12.678571,2.632418,0.270712,0.379284,0.108572
TOTALS:,4320,371,3949,97.731481,85.092593,12.638889,9.972051,13.594668,3.622617,0.266542,0.391104,0.124562
