ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,2,1,2,8,1,I,1,S,6,S,15,0.772942,0.604719,0.467413
1,2,1,2,8,2,1,I,1,S,6,S,17,0.630939,0.767047,0.48396
1,3,2,1,8,2,1,C,1,S,6,S,8,0.84795,0.217176,0.184154
1,4,9,2,8,2,1,C,7,L,6,S,7,0.852387,0.169964,0.144875
1,5,1,8,8,2,1,I,7,L,6,S,10,0.473591,0.784913,0.371728
1,6,8,1,2,8,1,I,7,L,6,S,10,0.780703,0.477218,0.372566
1,7,2,9,8,2,1,I,7,L,6,S,11,0.517976,0.774899,0.401379
1,8,8,9,8,2,0,I,1,S,6,S,10,0.758019,0.39203,0.297166
1,9,8,9,2,8,1,C,1,S,6,S,9,0.308551,0.79019,0.243814
1,10,2,9,2,8,1,C,7,L,6,S,7,0.184009,0.826402,0.152065
1,11,9,8,8,2,1,C,1,S,6,S,9,0.80346,0.297639,0.239141
1,12,9,8,2,8,0,I,1,S,6,S,11,0.424385,0.772641,0.327897
1,13,1,2,2,8,1,C,1,S,6,S,8,0.249699,0.803271,0.200576
1,14,8,1,8,2,1,C,7,L,6,S,7,0.869105,0.157533,0.136913
1,15,9,2,2,8,1,I,7,L,6,S,10,0.763336,0.490832,0.37467
1,16,1,8,2,8,1,C,7,L,6,S,7,0.153912,0.873036,0.134371
2,1,1,8,2,8,1,C,7,L,6,S,7,0.152713,0.872846,0.133295
2,2,8,9,8,2,1,I,1,S,6,S,20,0.641438,0.76894,0.493227
2,3,9,8,8,2,1,C,1,S,6,S,9,0.772102,0.323348,0.249658
2,4,8,9,2,8,1,C,1,S,6,S,8,0.280529,0.760107,0.213232
2,5,8,1,2,8,1,I,7,L,6,S,10,0.766548,0.485321,0.372022
2,6,2,1,2,8,1,I,1,S,6,S,16,0.750799,0.630135,0.473104
2,7,8,1,8,2,1,C,7,L,6,S,7,0.850827,0.16604,0.141271
2,8,1,8,8,2,1,I,7,L,6,S,10,0.465985,0.787817,0.367111
2,9,2,9,2,8,1,C,7,L,6,S,7,0.168721,0.847162,0.142934
2,10,9,8,2,8,0,I,1,S,6,S,10,0.377483,0.771962,0.291402
2,11,9,2,8,2,1,C,7,L,6,S,7,0.837497,0.177227,0.148427
2,12,2,1,8,2,1,C,1,S,6,S,8,0.803126,0.243959,0.19593
2,13,1,2,2,8,1,C,1,S,6,S,8,0.252689,0.793899,0.200609
2,14,1,2,8,2,1,I,1,S,6,S,17,0.635033,0.754312,0.479013
2,15,9,2,2,8,1,I,7,L,6,S,10,0.752882,0.497232,0.374357
2,16,2,9,8,2,1,I,7,L,6,S,10,0.484638,0.760254,0.368448
3,1,9,2,8,2,1,C,7,L,6,S,7,0.853725,0.166568,0.142203
3,2,8,1,8,2,1,C,7,L,6,S,7,0.873415,0.151491,0.132314
3,3,2,9,8,2,1,I,7,L,6,S,11,0.520115,0.78254,0.40701
3,4,2,1,8,2,1,C,1,S,6,S,8,0.847204,0.215235,0.182348
3,5,8,9,2,8,1,C,1,S,6,S,8,0.266677,0.777113,0.207238
3,6,1,8,8,2,1,I,7,L,6,S,10,0.490535,0.770525,0.377969
3,7,2,1,2,8,1,I,1,S,6,S,15,0.750674,0.619088,0.464733
3,8,8,9,8,2,1,I,1,S,6,S,19,0.649778,0.762158,0.495233
3,9,1,8,2,8,1,C,7,L,6,S,7,0.151464,0.872676,0.132179
3,10,1,2,2,8,1,C,1,S,6,S,8,0.236857,0.810033,0.191862
3,11,8,1,2,8,1,I,7,L,6,S,10,0.766376,0.484602,0.371388
3,12,1,2,8,2,1,I,1,S,6,S,17,0.636776,0.758238,0.482828
3,13,2,9,2,8,1,C,7,L,6,S,7,0.169823,0.846186,0.143702
3,14,9,8,8,2,1,C,1,S,6,S,9,0.792229,0.313011,0.247977
3,15,9,2,2,8,1,I,7,L,6,S,11,0.786017,0.510172,0.401004
3,16,9,8,2,8,0,I,1,S,6,S,10,0.369717,0.780029,0.28839
4,1,9,8,8,2,1,C,1,S,6,S,8,0.782937,0.264553,0.207128
4,2,9,2,2,8,1,I,7,L,6,S,10,0.760881,0.49212,0.374445
4,3,2,9,8,2,1,I,7,L,6,S,11,0.513023,0.782438,0.401408
4,4,2,9,2,8,1,C,7,L,6,S,7,0.177071,0.836344,0.148092
4,5,1,2,2,8,1,C,1,S,6,S,8,0.223228,0.836635,0.186761
4,6,1,8,8,2,1,I,7,L,6,S,10,0.48125,0.772589,0.371808
4,7,9,2,8,2,1,C,7,L,6,S,7,0.853329,0.167873,0.143251
4,8,8,1,2,8,1,I,7,L,6,S,10,0.771046,0.481774,0.37147
4,9,8,1,8,2,1,C,7,L,6,S,7,0.86363,0.1577,0.136195
4,10,1,2,8,2,1,I,1,S,6,S,15,0.616776,0.756489,0.466584
4,11,8,9,2,8,1,C,1,S,6,S,9,0.309863,0.784728,0.243158
4,12,8,9,8,2,0,I,1,S,6,S,10,0.763843,0.381693,0.291553
4,13,1,8,2,8,1,C,7,L,6,S,7,0.157055,0.864907,0.135838
4,14,2,1,2,8,1,I,1,S,6,S,17,0.765257,0.629612,0.481815
4,15,2,1,8,2,1,C,1,S,6,S,8,0.805864,0.244689,0.197186
4,16,9,8,2,8,1,I,1,S,6,S,18,0.758945,0.643931,0.488708
5,1,9,2,8,2,1,C,7,L,6,S,7,0.839506,0.174503,0.146497
5,2,1,2,2,8,1,C,1,S,6,S,8,0.238825,0.816214,0.194932
5,3,9,8,8,2,1,C,1,S,6,S,9,0.812813,0.284606,0.231331
5,4,8,9,2,8,1,C,1,S,6,S,9,0.288732,0.808726,0.233505
5,5,8,9,8,2,0,I,1,S,6,S,11,0.77264,0.421371,0.325568
5,6,1,8,8,2,1,I,7,L,6,S,10,0.486106,0.7684,0.373523
5,7,9,8,2,8,0,I,1,S,6,S,11,0.429277,0.76456,0.328208
5,8,1,8,2,8,1,C,7,L,6,S,7,0.156543,0.865578,0.1355
5,9,8,1,8,2,1,C,7,L,6,S,7,0.870975,0.153545,0.133734
5,10,2,1,8,2,1,C,1,S,6,S,8,0.813966,0.237349,0.193194
5,11,2,9,2,8,1,C,7,L,6,S,7,0.168586,0.845503,0.14254
5,12,1,2,8,2,1,I,1,S,6,S,16,0.634318,0.751772,0.476863
5,13,8,1,2,8,1,I,7,L,6,S,10,0.773468,0.481879,0.372718
5,14,2,9,8,2,1,I,7,L,6,S,11,0.509693,0.786567,0.400908
5,15,9,2,2,8,1,I,7,L,6,S,11,0.780094,0.514936,0.401698
5,16,2,1,2,8,1,I,1,S,6,S,17,0.769282,0.625099,0.480877
6,1,1,2,2,8,1,C,1,S,6,S,8,0.234794,0.814363,0.191208
6,2,8,9,2,8,1,C,1,S,6,S,9,0.281098,0.819881,0.230467
6,3,1,8,8,2,1,I,7,L,6,S,10,0.480071,0.771436,0.370344
6,4,1,8,2,8,1,C,7,L,6,S,7,0.162896,0.853938,0.139103
6,5,2,1,8,2,1,C,1,S,6,S,8,0.842773,0.218807,0.184405
6,6,9,2,2,8,1,I,7,L,6,S,11,0.774267,0.513262,0.397402
6,7,2,9,8,2,1,I,7,L,6,S,11,0.507254,0.789439,0.400446
6,8,2,1,2,8,1,I,1,S,6,S,15,0.772375,0.600045,0.46346
6,9,9,2,8,2,1,C,7,L,6,S,7,0.821164,0.18673,0.153336
6,10,2,9,2,8,1,C,7,L,6,S,7,0.179368,0.832641,0.149349
6,11,9,8,2,8,0,I,1,S,6,S,10,0.384734,0.759901,0.29236
6,12,8,9,8,2,0,I,1,S,6,S,12,0.755078,0.489488,0.369602
6,13,8,1,8,2,1,C,7,L,6,S,7,0.867373,0.15645,0.135701
6,14,9,8,8,2,1,C,1,S,6,S,9,0.780311,0.316467,0.246943
6,15,8,1,2,8,1,I,7,L,6,S,10,0.783547,0.468909,0.367412
6,16,1,2,8,2,1,I,1,S,6,S,16,0.619019,0.764108,0.472998
7,1,8,9,8,2,1,I,1,S,6,S,20,0.661469,0.75042,0.496379
7,2,2,1,8,2,1,C,1,S,6,S,8,0.820684,0.234099,0.192122
7,3,9,8,2,8,0,I,1,S,6,S,10,0.37642,0.778153,0.292913
7,4,9,8,8,2,1,C,1,S,6,S,9,0.785273,0.316958,0.248898
7,5,8,1,8,2,1,C,7,L,6,S,7,0.868549,0.157348,0.136664
7,6,9,2,8,2,1,C,7,L,6,S,7,0.826453,0.183994,0.152062
7,7,1,8,8,2,1,I,7,L,6,S,10,0.47467,0.7854,0.372806
7,8,9,2,2,8,1,I,7,L,6,S,11,0.766779,0.527353,0.404363
7,9,2,1,2,8,1,I,1,S,6,S,16,0.756472,0.629646,0.476309
7,10,8,9,2,8,1,C,1,S,6,S,8,0.285659,0.757564,0.216405
7,11,1,8,2,8,1,C,7,L,6,S,7,0.148128,0.882369,0.130704
7,12,8,1,2,8,1,I,7,L,6,S,10,0.772141,0.486918,0.375969
7,13,1,2,2,8,1,C,1,S,6,S,8,0.205348,0.859581,0.176513
7,14,2,9,8,2,1,I,7,L,6,S,10,0.495943,0.753005,0.373447
7,15,2,9,2,8,1,C,7,L,6,S,7,0.166192,0.852255,0.141638
7,16,1,2,8,2,1,I,1,S,6,S,15,0.602771,0.772809,0.465827
8,1,9,8,8,2,1,C,1,S,6,S,9,0.838674,0.265908,0.22301
8,2,8,9,8,2,0,I,1,S,6,S,10,0.762626,0.384568,0.293282
8,3,1,8,8,2,1,I,7,L,6,S,10,0.483276,0.771335,0.372768
