ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,8,9,2,8,1,C,1,S,6,S,9,0.302892,0.782945,0.237148
1,2,8,1,2,8,1,I,7,L,6,S,10,0.764732,0.477497,0.365157
1,3,2,9,2,8,1,C,7,L,6,S,7,0.181737,0.81617,0.148328
1,4,1,8,8,2,1,I,7,L,6,S,10,0.473904,0.768899,0.364384
1,5,9,2,8,2,1,C,7,L,6,S,7,0.841574,0.168028,0.141408
1,6,1,8,2,8,1,C,7,L,6,S,7,0.152268,0.861833,0.131229
1,7,2,1,8,2,1,C,1,S,6,S,8,0.838376,0.213898,0.179327
1,8,1,2,8,2,1,I,1,S,6,S,18,0.623157,0.768395,0.47883
1,9,2,1,2,8,1,I,1,S,6,S,15,0.754783,0.606056,0.457441
1,10,2,9,8,2,1,I,7,L,6,S,11,0.51828,0.758599,0.393167
1,11,9,8,2,8,0,I,1,S,6,S,11,0.415344,0.767679,0.318851
1,12,9,8,8,2,1,C,1,S,6,S,9,0.795897,0.292253,0.232603
1,13,8,9,8,2,0,I,1,S,6,S,10,0.752406,0.384202,0.289076
1,14,8,1,8,2,1,C,7,L,6,S,7,0.857944,0.155856,0.133716
1,15,9,2,2,8,1,I,7,L,6,S,11,0.786414,0.500549,0.393639
1,16,1,2,2,8,1,C,1,S,6,S,8,0.245699,0.79467,0.19525
2,1,9,8,8,2,1,C,1,S,6,S,9,0.764997,0.317539,0.242916
2,2,2,1,2,8,1,I,1,S,6,S,17,0.754122,0.623255,0.47001
2,3,1,8,8,2,1,I,7,L,6,S,10,0.466258,0.771862,0.359887
2,4,9,8,2,8,0,I,1,S,6,S,10,0.369853,0.766151,0.283363
2,5,2,1,8,2,1,C,1,S,6,S,8,0.7943,0.240227,0.190812
2,6,8,9,2,8,1,C,1,S,6,S,8,0.275825,0.752459,0.207547
2,7,8,1,8,2,1,C,7,L,6,S,7,0.839876,0.164276,0.137971
2,8,1,2,2,8,1,C,1,S,6,S,8,0.248565,0.785547,0.195259
2,9,1,2,8,2,1,I,1,S,6,S,18,0.62686,0.756657,0.474318
2,10,2,9,2,8,1,C,7,L,6,S,7,0.166708,0.836549,0.13946
2,11,9,2,8,2,1,C,7,L,6,S,7,0.826825,0.17523,0.144884
2,12,8,1,2,8,1,I,7,L,6,S,10,0.750812,0.485481,0.364505
2,13,1,8,2,8,1,C,7,L,6,S,7,0.151034,0.861698,0.130145
2,14,8,9,8,2,1,I,1,S,6,S,21,0.63173,0.767485,0.484843
2,15,9,2,2,8,1,I,7,L,6,S,11,0.776253,0.506829,0.393428
2,16,2,9,8,2,1,I,7,L,6,S,11,0.494684,0.783597,0.387633
3,1,2,9,2,8,1,C,7,L,6,S,7,0.167791,0.83558,0.140203
3,2,8,1,2,8,1,I,7,L,6,S,10,0.750652,0.484761,0.363887
3,3,1,8,8,2,1,I,7,L,6,S,10,0.490834,0.754565,0.370366
3,4,1,8,2,8,1,C,7,L,6,S,7,0.149816,0.861518,0.129069
3,5,9,8,8,2,1,C,1,S,6,S,9,0.78524,0.307063,0.241118
3,6,1,2,8,2,1,I,1,S,6,S,18,0.629494,0.758927,0.477739
3,7,8,9,8,2,1,I,1,S,6,S,20,0.640413,0.761317,0.487557
3,8,9,2,8,2,1,C,7,L,6,S,7,0.843194,0.164491,0.138698
3,9,1,2,2,8,1,C,1,S,6,S,8,0.233069,0.80133,0.186765
3,10,9,2,2,8,1,I,7,L,6,S,11,0.769393,0.510708,0.392935
3,11,2,1,2,8,1,I,1,S,6,S,16,0.755796,0.613646,0.463791
3,12,2,9,8,2,1,I,7,L,6,S,11,0.520706,0.765835,0.398774
3,13,8,9,2,8,1,C,1,S,6,S,8,0.262267,0.769096,0.201709
3,14,9,8,2,8,0,I,1,S,6,S,10,0.362256,0.774033,0.280398
3,15,8,1,8,2,1,C,7,L,6,S,7,0.862473,0.149728,0.129136
3,16,2,1,8,2,1,C,1,S,6,S,8,0.837977,0.211767,0.177456
4,1,1,8,8,2,1,I,7,L,6,S,10,0.48147,0.756761,0.364358
4,2,2,1,8,2,1,C,1,S,6,S,8,0.797236,0.240767,0.191948
4,3,8,9,2,8,1,C,1,S,6,S,9,0.304174,0.777595,0.236524
4,4,9,2,8,2,1,C,7,L,6,S,7,0.842561,0.165912,0.139791
4,5,9,2,2,8,1,I,7,L,6,S,11,0.78406,0.501809,0.393449
4,6,2,9,8,2,1,I,7,L,6,S,11,0.513493,0.765913,0.393291
4,7,8,9,8,2,0,I,1,S,6,S,10,0.758175,0.374009,0.283564
4,8,9,8,2,8,1,I,1,S,6,S,19,0.75998,0.634638,0.482312
4,9,8,1,2,8,1,I,7,L,6,S,10,0.755275,0.481954,0.364007
4,10,1,2,2,8,1,C,1,S,6,S,8,0.219777,0.827336,0.18183
4,11,2,9,2,8,1,C,7,L,6,S,7,0.17494,0.825903,0.144484
4,12,1,2,8,2,1,I,1,S,6,S,16,0.611457,0.761338,0.465526
4,13,8,1,8,2,1,C,7,L,6,S,7,0.852648,0.155951,0.132972
4,14,1,8,2,8,1,C,7,L,6,S,7,0.155341,0.853871,0.132641
4,15,2,1,2,8,1,I,1,S,6,S,18,0.766345,0.622086,0.476732
4,16,9,8,8,2,1,C,1,S,6,S,8,0.774786,0.260217,0.201613
5,1,1,2,2,8,1,C,1,S,6,S,8,0.234966,0.807427,0.189718
5,2,2,9,2,8,1,C,7,L,6,S,7,0.166554,0.834953,0.139065
5,3,2,9,8,2,1,I,7,L,6,S,11,0.510265,0.769934,0.39287
5,4,8,1,2,8,1,I,7,L,6,S,10,0.757563,0.482142,0.365253
5,5,9,8,8,2,1,C,1,S,6,S,9,0.805156,0.279398,0.224959
5,6,8,9,2,8,1,C,1,S,6,S,9,0.283399,0.801179,0.227054
5,7,1,8,2,8,1,C,7,L,6,S,7,0.154762,0.85461,0.132261
5,8,2,1,8,2,1,C,1,S,6,S,8,0.8052,0.233561,0.188063
5,9,2,1,2,8,1,I,1,S,6,S,17,0.750384,0.62702,0.470506
5,10,9,8,2,8,0,I,1,S,6,S,11,0.420053,0.759842,0.319174
5,11,8,1,8,2,1,C,7,L,6,S,7,0.859869,0.151865,0.130584
5,12,1,2,8,2,1,I,1,S,6,S,17,0.626831,0.755674,0.47368
5,13,1,8,8,2,1,I,7,L,6,S,10,0.486257,0.752638,0.365976
5,14,8,9,8,2,0,I,1,S,6,S,11,0.767734,0.412346,0.316572
5,15,9,2,2,8,1,I,7,L,6,S,11,0.763561,0.515419,0.393554
5,16,9,2,8,2,1,C,7,L,6,S,7,0.829055,0.172387,0.142918
6,1,1,8,8,2,1,I,7,L,6,S,10,0.480213,0.755708,0.362901
6,2,9,2,2,8,1,I,7,L,6,S,11,0.758016,0.513541,0.389272
6,3,8,1,2,8,1,I,7,L,6,S,10,0.767591,0.469199,0.360153
6,4,1,8,2,8,1,C,7,L,6,S,7,0.161111,0.842998,0.135816
6,5,8,9,2,8,1,C,1,S,6,S,9,0.276078,0.811861,0.224137
6,6,8,9,8,2,0,I,1,S,6,S,12,0.751231,0.478649,0.359576
6,7,2,9,2,8,1,C,7,L,6,S,7,0.17724,0.822145,0.145717
6,8,9,8,2,8,0,I,1,S,6,S,10,0.377087,0.754128,0.284372
6,9,2,1,2,8,1,I,1,S,6,S,15,0.754313,0.601323,0.453586
6,10,1,2,2,8,1,C,1,S,6,S,8,0.231163,0.805382,0.186174
6,11,9,8,8,2,1,C,1,S,6,S,9,0.773196,0.31069,0.240225
6,12,8,1,8,2,1,C,7,L,6,S,7,0.856221,0.154792,0.132536
6,13,9,2,8,2,1,C,7,L,6,S,7,0.810974,0.18444,0.149576
6,14,2,9,8,2,1,I,7,L,6,S,11,0.507744,0.772844,0.392407
6,15,2,1,8,2,1,C,1,S,6,S,8,0.833276,0.215495,0.179567
6,16,1,2,8,2,1,I,1,S,6,S,17,0.612898,0.766462,0.469763
7,1,9,2,8,2,1,C,7,L,6,S,7,0.816225,0.181733,0.148335
7,2,8,9,8,2,1,I,1,S,6,S,21,0.650345,0.75068,0.488201
7,3,2,1,2,8,1,I,1,S,6,S,17,0.759307,0.622944,0.473006
7,4,2,1,8,2,1,C,1,S,6,S,8,0.811726,0.230434,0.187049
7,5,2,9,8,2,1,I,7,L,6,S,11,0.505921,0.776159,0.392675
7,6,9,8,8,2,1,C,1,S,6,S,9,0.778137,0.311132,0.242104
7,7,9,8,2,8,0,I,1,S,6,S,10,0.368754,0.772329,0.2848
7,8,2,9,2,8,1,C,7,L,6,S,7,0.164191,0.841635,0.138189
7,9,8,9,2,8,1,C,1,S,6,S,8,0.280801,0.750078,0.210622
7,10,9,2,2,8,1,I,7,L,6,S,11,0.750488,0.527663,0.396005
7,11,1,2,8,2,1,I,1,S,6,S,15,0.604163,0.754653,0.455934
7,12,1,2,2,8,1,C,1,S,6,S,8,0.202163,0.84997,0.171832
7,13,8,1,8,2,1,C,7,L,6,S,7,0.857444,0.155642,0.133454
7,14,1,8,2,8,1,C,7,L,6,S,7,0.146504,0.871123,0.127623
7,15,1,8,8,2,1,I,7,L,6,S,10,0.475009,0.769339,0.365443
