ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,9,2,8,2,1,C,7,L,6,S,7,0.839961,0.167656,0.140824
1,2,8,1,8,2,1,C,7,L,6,S,7,0.856331,0.155484,0.133145
1,3,9,8,8,2,1,C,1,S,6,S,9,0.793766,0.292064,0.23183
1,4,8,9,8,2,0,I,1,S,6,S,10,0.750042,0.384123,0.288108
1,5,2,1,2,8,1,I,1,S,6,S,15,0.75526,0.60282,0.455286
1,6,1,2,2,8,1,C,1,S,6,S,8,0.24542,0.792781,0.194564
1,7,8,1,2,8,1,I,7,L,6,S,10,0.764664,0.475123,0.363309
1,8,1,2,8,2,1,I,1,S,6,S,18,0.619606,0.76912,0.476551
1,9,2,9,2,8,1,C,7,L,6,S,7,0.181374,0.814548,0.147738
1,10,2,1,8,2,1,C,1,S,6,S,8,0.836496,0.213609,0.178683
1,11,8,9,2,8,1,C,1,S,6,S,9,0.302713,0.780804,0.23636
1,12,1,8,8,2,1,I,7,L,6,S,10,0.471539,0.768821,0.362529
1,13,1,8,2,8,1,C,7,L,6,S,7,0.151905,0.860211,0.13067
1,14,2,9,8,2,1,I,7,L,6,S,11,0.515703,0.758636,0.391231
1,15,9,8,2,8,0,I,1,S,6,S,11,0.41539,0.765093,0.317812
1,16,9,2,2,8,1,I,7,L,6,S,11,0.78646,0.497963,0.391628
2,1,9,2,2,8,1,I,7,L,6,S,11,0.776313,0.504232,0.391442
2,2,9,8,8,2,1,C,1,S,6,S,9,0.762911,0.317324,0.24209
2,3,2,9,8,2,1,I,7,L,6,S,11,0.492153,0.783605,0.385653
2,4,2,1,2,8,1,I,1,S,6,S,17,0.754784,0.619789,0.467807
2,5,2,1,8,2,1,C,1,S,6,S,8,0.792463,0.239913,0.190123
2,6,1,2,8,2,1,I,1,S,6,S,18,0.623346,0.757358,0.472096
2,7,9,2,8,2,1,C,7,L,6,S,7,0.825251,0.174836,0.144284
2,8,1,8,8,2,1,I,7,L,6,S,10,0.46394,0.771756,0.358048
2,9,1,2,2,8,1,C,1,S,6,S,8,0.2483,0.783646,0.194579
2,10,8,1,2,8,1,I,7,L,6,S,10,0.750758,0.483096,0.362688
2,11,1,8,2,8,1,C,7,L,6,S,7,0.150685,0.860064,0.129599
2,12,8,9,2,8,1,C,1,S,6,S,8,0.27556,0.750558,0.206824
2,13,2,9,2,8,1,C,7,L,6,S,7,0.166359,0.834915,0.138896
2,14,8,1,8,2,1,C,7,L,6,S,7,0.838303,0.163882,0.137383
2,15,8,9,8,2,1,I,1,S,6,S,20,0.640209,0.750158,0.480258
2,16,9,8,2,8,0,I,1,S,6,S,10,0.369798,0.763765,0.282439
3,1,8,1,2,8,1,I,7,L,6,S,10,0.750596,0.482379,0.362072
3,2,1,2,2,8,1,C,1,S,6,S,8,0.232802,0.799432,0.18611
3,3,9,2,8,2,1,C,7,L,6,S,7,0.841509,0.164167,0.138148
3,4,2,9,2,8,1,C,7,L,6,S,7,0.167441,0.833949,0.139638
3,5,8,1,8,2,1,C,7,L,6,S,7,0.860789,0.149404,0.128605
3,6,9,8,8,2,1,C,1,S,6,S,9,0.78303,0.30693,0.240336
3,7,2,1,2,8,1,I,1,S,6,S,16,0.756373,0.610288,0.461605
3,8,2,9,8,2,1,I,7,L,6,S,11,0.518052,0.765928,0.39679
3,9,2,1,8,2,1,C,1,S,6,S,8,0.836021,0.211531,0.176844
3,10,9,2,2,8,1,I,7,L,6,S,11,0.769451,0.508115,0.39097
3,11,1,8,8,2,1,I,7,L,6,S,10,0.488391,0.754543,0.368512
3,12,1,2,8,2,1,I,1,S,6,S,18,0.625887,0.759696,0.475484
3,13,8,9,8,2,1,I,1,S,6,S,20,0.636656,0.762216,0.48527
3,14,8,9,2,8,1,C,1,S,6,S,8,0.262001,0.767198,0.201007
3,15,1,8,2,8,1,C,7,L,6,S,7,0.149466,0.859887,0.128524
3,16,9,8,2,8,0,I,1,S,6,S,10,0.3622,0.771651,0.279492
4,1,9,8,2,8,1,I,1,S,6,S,19,0.76078,0.631003,0.480055
4,2,2,9,8,2,1,I,7,L,6,S,11,0.510902,0.765965,0.391333
4,3,2,1,8,2,1,C,1,S,6,S,8,0.79534,0.240494,0.191275
4,4,9,2,2,8,1,I,7,L,6,S,11,0.784106,0.499224,0.391445
4,5,1,2,2,8,1,C,1,S,6,S,8,0.219498,0.825448,0.181185
4,6,1,8,8,2,1,I,7,L,6,S,10,0.47909,0.756699,0.362527
4,7,8,1,8,2,1,C,7,L,6,S,7,0.85102,0.155595,0.132414
4,8,8,1,2,8,1,I,7,L,6,S,10,0.755207,0.479581,0.362183
4,9,8,9,8,2,0,I,1,S,6,S,10,0.755796,0.373947,0.282627
4,10,1,8,2,8,1,C,7,L,6,S,7,0.154979,0.852249,0.132081
4,11,2,9,2,8,1,C,7,L,6,S,7,0.174578,0.824281,0.143902
4,12,9,8,8,2,1,C,1,S,6,S,8,0.772891,0.259944,0.200908
4,13,9,2,8,2,1,C,7,L,6,S,7,0.840933,0.165556,0.139221
4,14,8,9,2,8,1,C,1,S,6,S,9,0.303996,0.775454,0.235735
4,15,2,1,2,8,1,I,1,S,6,S,18,0.767076,0.618533,0.474462
4,16,1,2,8,2,1,I,1,S,6,S,16,0.608097,0.761912,0.463317
5,1,8,9,8,2,0,I,1,S,6,S,11,0.765135,0.412404,0.315544
