ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,2,9,2,8,1,C,7,L,6,S,7,0.183646,0.824779,0.151468
1,2,2,1,8,2,1,C,1,S,6,S,8,0.84607,0.216886,0.183501
1,3,1,8,8,2,1,I,7,L,6,S,10,0.471227,0.784834,0.369835
1,4,9,2,8,2,1,C,7,L,6,S,7,0.850773,0.169592,0.144284
1,5,1,2,2,8,1,C,1,S,6,S,8,0.24942,0.801382,0.199881
1,6,8,9,2,8,1,C,1,S,6,S,9,0.308372,0.788049,0.243012
1,7,8,9,8,2,0,I,1,S,6,S,10,0.755654,0.391951,0.29618
1,8,8,1,2,8,1,I,7,L,6,S,10,0.780634,0.474845,0.37068
1,9,9,2,2,8,1,I,7,L,6,S,10,0.763267,0.488458,0.372824
1,10,9,8,2,8,0,I,1,S,6,S,11,0.424431,0.770055,0.326835
1,11,1,2,8,2,1,I,1,S,6,S,17,0.627482,0.767695,0.481715
1,12,2,9,8,2,1,I,7,L,6,S,11,0.515399,0.774935,0.399401
1,13,8,1,8,2,1,C,7,L,6,S,7,0.867492,0.157161,0.136336
1,14,1,8,2,8,1,C,7,L,6,S,7,0.15355,0.871414,0.133805
1,15,9,8,8,2,1,C,1,S,6,S,9,0.801329,0.29745,0.238355
1,16,2,1,2,8,1,I,1,S,6,S,15,0.773419,0.601482,0.465198
2,1,9,8,8,2,1,C,1,S,6,S,9,0.770017,0.323132,0.248817
2,2,9,2,8,2,1,C,7,L,6,S,7,0.835924,0.176833,0.147819
2,3,8,9,2,8,1,C,1,S,6,S,8,0.280264,0.758205,0.212498
2,4,2,9,2,8,1,C,7,L,6,S,7,0.168372,0.845527,0.142363
2,5,1,2,2,8,1,C,1,S,6,S,8,0.252424,0.791997,0.199919
2,6,1,8,2,8,1,C,7,L,6,S,7,0.152364,0.871212,0.132742
2,7,1,2,8,2,1,I,1,S,6,S,17,0.631613,0.754934,0.476827
2,8,8,1,8,2,1,C,7,L,6,S,7,0.849253,0.165646,0.140675
2,9,2,1,2,8,1,I,1,S,6,S,16,0.751378,0.626773,0.470943
