ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,16,2,14,100,75,25,7.75,12.166667,4.416667,0.17883,0.409942,0.231112
2,16,1,15,100,87.5,12.5,7.625,13.285714,5.660714,0.177508,0.416182,0.238674
3,16,1,15,100,87.5,12.5,7.625,13.285714,5.660714,0.171851,0.426536,0.254685
4,16,1,15,100,87.5,12.5,7.625,13,5.375,0.174057,0.420292,0.246235
5,16,2,14,100,75,25,7.75,12.5,4.75,0.175767,0.415736,0.239969
6,16,2,14,100,75,25,7.75,12.166667,4.416667,0.178158,0.409993,0.231835
7,16,1,15,100,87.5,12.5,7.625,13.142857,5.517857,0.173734,0.421557,0.247822
8,16,1,15,100,87.5,12.5,7.75,13.857143,6.107143,0.177069,0.42859,0.251521
9,16,2,14,100,75,25,7.75,12.166667,4.416667,0.175073,0.414122,0.239049
10,16,2,14,100,75,25,7.75,12.166667,4.416667,0.176728,0.41024,0.233513
11,16,2,14,100,75,25,7.75,12.166667,4.416667,0.180439,0.406634,0.226195
12,16,2,14,100,75,25,7.75,12.5,4.75,0.179559,0.411384,0.231824
13,16,1,15,100,87.5,12.5,7.625,13.142857,5.517857,0.175569,0.418576,0.243007
14,16,2,14,100,75,25,7.75,12,4.25,0.180669,0.407567,0.226898
15,16,2,14,100,75,25,7.75,12.333333,4.583333,0.174581,0.416948,0.242367
16,16,2,14,100,75,25,7.75,12.333333,4.583333,0.179496,0.412999,0.233503
17,16,2,14,100,75,25,7.75,12.5,4.75,0.177886,0.414726,0.23684
18,16,0,16,100,100,0,7.625,14.25,6.625,0.173767,0.428736,0.254969
19,16,2,14,100,75,25,7.75,12.5,4.75,0.179807,0.415138,0.235332
20,16,2,14,100,75,25,7.75,12.333333,4.583333,0.179981,0.40412,0.224139
21,16,2,14,100,75,25,7.75,12.166667,4.416667,0.177894,0.411468,0.233575
22,16,2,14,100,75,25,7.75,12.333333,4.583333,0.180329,0.408808,0.22848
23,16,1,15,100,87.5,12.5,7.75,13.571429,5.821429,0.17762,0.424921,0.2473
24,16,2,14,100,75,25,7.75,12.666667,4.916667,0.180512,0.419012,0.2385
25,16,1,15,100,87.5,12.5,7.75,13.571429,5.821429,0.176076,0.424519,0.248443
26,16,2,14,100,75,25,7.75,12.333333,4.583333,0.177722,0.413643,0.235922
27,16,2,14,100,75,25,7.75,12.5,4.75,0.176694,0.418616,0.241921
28,16,2,14,100,75,25,7.75,12,4.25,0.174836,0.411406,0.23657
29,16,2,14,100,75,25,7.75,12.166667,4.416667,0.177913,0.404521,0.226608
30,16,2,14,100,75,25,7.75,12,4.25,0.175131,0.409074,0.233943
TOTALS:,480,50,430,100,79.166667,20.833333,7.725,12.684211,4.959211,0.177175,0.415656,0.238481
