ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,1,8,1,9,1,C,7,L,8,L,9,0.278444,0.850035,0.236687
1,2,1,9,9,1,1,I,8,L,8,L,13,0.553692,0.76675,0.424544
1,3,8,1,2,1,1,C,7,L,1,S,10,0.828135,0.33281,0.275612
1,4,2,9,1,9,1,C,7,L,8,L,10,0.322861,0.83587,0.26987
1,5,1,2,9,2,0,I,1,S,7,L,12,0.7782,0.437371,0.340363
1,6,2,8,1,2,1,C,6,S,1,S,10,0.379534,0.769671,0.292116
1,7,2,1,2,9,1,I,1,S,7,L,14,0.772556,0.564858,0.436384
1,8,9,8,2,8,1,I,1,S,6,S,22,0.773872,0.64016,0.495402
1,9,1,9,1,2,1,C,8,L,1,S,10,0.374558,0.778712,0.291673
1,10,8,1,8,2,1,C,7,L,6,S,9,0.851311,0.277023,0.235832
1,11,9,2,9,8,1,C,7,L,1,S,9,0.792895,0.327998,0.260068
1,12,8,9,2,1,1,I,1,S,1,S,22,0.604521,0.759315,0.459022
1,13,9,2,2,9,1,I,7,L,7,L,11,0.7645,0.487584,0.372758
1,14,2,9,2,1,1,I,7,L,1,S,12,0.430157,0.780576,0.33577
1,15,9,1,8,1,1,C,8,L,7,L,8,0.809069,0.266637,0.215728
1,16,2,9,8,2,1,I,7,L,6,S,16,0.596882,0.779031,0.46499
1,17,1,9,2,1,1,I,8,L,1,S,11,0.383437,0.813205,0.311813
1,18,2,9,9,2,1,I,7,L,7,L,15,0.592675,0.758825,0.449737
1,19,8,1,2,9,1,I,7,L,7,L,12,0.779431,0.507776,0.395777
1,20,1,8,2,9,1,C,7,L,7,L,9,0.273938,0.853828,0.233896
1,21,9,8,8,2,1,C,1,S,6,S,11,0.813712,0.371606,0.30238
1,22,9,2,1,2,1,I,7,L,1,S,9,0.751592,0.366203,0.275235
1,23,2,8,8,9,1,C,6,S,1,S,11,0.401165,0.792445,0.317901
1,24,1,8,9,2,1,I,7,L,7,L,11,0.489391,0.755236,0.369605
1,25,1,9,8,2,1,I,8,L,6,S,13,0.546758,0.771189,0.421654
1,26,9,8,9,8,1,C,1,S,1,S,12,0.75142,0.437697,0.328894
1,27,8,9,9,2,0,I,1,S,7,L,12,0.758211,0.453587,0.343914
1,28,8,2,9,2,1,C,6,S,7,L,9,0.789562,0.32447,0.256189
1,29,1,2,8,1,0,I,1,S,7,L,11,0.7705,0.420487,0.323985
1,30,9,1,8,9,1,I,8,L,1,S,9,0.811004,0.313538,0.254281
1,31,9,8,9,2,1,C,1,S,7,L,11,0.797706,0.384466,0.306691
1,32,2,8,2,8,1,C,6,S,6,S,9,0.329068,0.779051,0.256361
1,33,9,2,2,8,1,I,7,L,6,S,11,0.787436,0.457959,0.360613
1,34,9,8,1,2,1,I,1,S,1,S,16,0.778006,0.484448,0.376904
1,35,2,1,1,8,1,I,1,S,7,L,13,0.767646,0.53146,0.407974
1,36,1,9,9,2,1,I,8,L,7,L,13,0.530916,0.784296,0.416395
1,37,1,2,2,9,1,C,1,S,7,L,11,0.417587,0.765204,0.31954
1,38,2,8,2,9,1,C,6,S,7,L,9,0.31014,0.802954,0.249028
1,39,9,2,2,1,1,C,7,L,1,S,9,0.770175,0.345072,0.265766
1,40,1,2,8,9,0,C,1,S,1,S,19,0.757682,0.538237,0.407812
1,41,2,8,1,8,1,C,6,S,7,L,9,0.334915,0.773803,0.259158
1,42,1,9,9,8,1,I,8,L,1,S,11,0.425594,0.781018,0.332396
1,43,9,1,2,1,1,C,8,L,1,S,9,0.804898,0.319416,0.257098
1,44,1,2,1,2,1,C,1,S,1,S,17,0.485289,0.760828,0.369221
1,45,1,9,2,9,1,C,8,L,7,L,9,0.306053,0.810714,0.248122
1,46,2,1,9,1,1,C,1,S,8,L,9,0.794144,0.320917,0.254854
1,47,8,1,9,2,1,C,7,L,7,L,9,0.837848,0.288036,0.24133
1,48,1,2,9,1,0,I,1,S,8,L,11,0.757856,0.43081,0.326492
1,49,9,1,1,9,1,I,8,L,8,L,10,0.757625,0.450671,0.341439
1,50,8,2,2,1,1,C,6,S,1,S,10,0.77307,0.373897,0.289048
1,51,8,2,1,9,1,I,6,S,8,L,13,0.76223,0.549221,0.418632
1,52,8,1,2,8,1,I,7,L,6,S,11,0.759533,0.475797,0.361384
1,53,9,2,1,9,1,I,7,L,8,L,11,0.769358,0.483218,0.371768
1,54,8,9,2,9,1,C,1,S,7,L,11,0.402338,0.776327,0.312346
1,55,9,1,9,8,1,C,8,L,1,S,9,0.827618,0.302343,0.250224
1,56,8,2,2,8,1,I,6,S,6,S,13,0.7816,0.52306,0.408823
1,57,2,1,1,9,1,I,1,S,8,L,14,0.776937,0.561174,0.435997
1,58,1,8,2,8,1,C,7,L,6,S,9,0.292866,0.829925,0.243057
1,59,1,2,2,8,1,C,1,S,6,S,12,0.423054,0.785825,0.332446
1,60,8,9,8,9,1,C,1,S,1,S,23,0.622895,0.761411,0.474279
1,61,2,9,8,9,1,C,7,L,1,S,12,0.44638,0.766544,0.342169
1,62,1,9,1,8,1,C,8,L,7,L,9,0.330827,0.781563,0.258563
1,63,9,2,9,2,1,C,7,L,7,L,8,0.752587,0.309803,0.233154
1,64,2,1,8,1,1,C,1,S,7,L,9,0.805476,0.311661,0.251035
1,65,2,9,1,8,1,C,7,L,7,L,10,0.345907,0.806358,0.278925
1,66,2,8,9,2,1,I,6,S,7,L,13,0.537439,0.773669,0.4158
1,67,9,2,8,2,1,C,7,L,6,S,8,0.763681,0.30034,0.229364
1,68,9,8,1,9,0,I,1,S,8,L,14,0.514753,0.759891,0.391156
1,69,2,1,2,8,1,I,1,S,6,S,13,0.76058,0.538568,0.409624
1,70,1,8,8,2,1,I,7,L,6,S,12,0.507785,0.784995,0.398608
1,71,1,8,9,8,1,I,7,L,1,S,10,0.39702,0.773916,0.30726
1,72,1,9,8,9,1,C,8,L,1,S,11,0.395475,0.802392,0.317326
1,73,9,8,2,9,0,I,1,S,7,L,13,0.495776,0.751577,0.372614
1,74,2,9,2,9,1,C,7,L,7,L,10,0.318094,0.840085,0.267226
1,75,2,8,9,8,1,I,6,S,1,S,11,0.431284,0.771071,0.33255
1,76,2,1,8,2,1,C,1,S,6,S,9,0.788319,0.324182,0.255559
1,77,8,1,9,1,1,C,7,L,8,L,9,0.857135,0.273757,0.234647
1,78,2,8,2,1,1,I,6,S,1,S,11,0.389127,0.803258,0.31257
1,79,9,2,9,1,1,C,7,L,8,L,8,0.768598,0.297683,0.228798
1,80,2,1,1,2,1,I,1,S,1,S,11,0.792694,0.396032,0.313932
1,81,8,1,9,8,1,C,7,L,1,S,9,0.7686,0.342725,0.263418
1,82,1,8,8,9,1,C,7,L,1,S,10,0.374332,0.789805,0.295649
1,83,8,9,9,8,1,I,1,S,1,S,24,0.64951,0.755405,0.490643
1,84,9,8,8,1,1,C,1,S,7,L,10,0.765829,0.382619,0.29302
1,85,1,8,8,1,1,I,7,L,7,L,12,0.527289,0.77027,0.406155
1,86,9,8,8,9,1,I,1,S,1,S,13,0.7674,0.436652,0.335087
1,87,9,8,1,8,1,I,1,S,7,L,22,0.777148,0.638055,0.495863
1,88,1,2,8,2,0,I,1,S,6,S,11,0.751012,0.434922,0.326632
1,89,2,9,9,1,1,I,7,L,8,L,16,0.603121,0.774771,0.46728
1,90,9,2,8,1,1,C,7,L,7,L,8,0.778339,0.289485,0.225317
1,91,2,1,9,8,1,C,1,S,1,S,10,0.786904,0.362535,0.285281
1,92,1,2,9,8,0,I,1,S,1,S,15,0.75416,0.498669,0.376077
1,93,2,8,1,9,1,C,6,S,8,L,9,0.314646,0.79916,0.251453
1,94,2,9,2,8,1,C,7,L,6,S,10,0.339407,0.812628,0.275811
1,95,1,9,8,1,1,I,8,L,7,L,13,0.565763,0.756532,0.428018
1,96,9,1,2,9,1,I,8,L,7,L,10,0.752858,0.454886,0.342464
1,97,2,8,8,2,1,I,6,S,6,S,13,0.55328,0.760563,0.420804
1,98,9,1,1,2,1,I,8,L,1,S,9,0.786316,0.340548,0.267778
1,99,9,1,8,2,1,C,8,L,6,S,8,0.794412,0.277491,0.220442
1,100,8,1,8,1,1,C,7,L,7,L,8,0.757578,0.301806,0.228642
1,101,8,1,1,9,1,I,7,L,8,L,12,0.784235,0.50349,0.394854
1,102,8,1,1,2,1,I,7,L,1,S,10,0.801145,0.362157,0.29014
1,103,1,8,2,1,1,I,7,L,1,S,10,0.365646,0.797889,0.291745
1,104,1,2,1,9,1,C,1,S,8,L,11,0.422446,0.760839,0.321413
1,105,8,9,8,1,0,I,1,S,7,L,11,0.755251,0.43161,0.325974
1,106,8,9,2,8,1,C,1,S,6,S,12,0.403064,0.802041,0.323274
1,107,8,2,2,9,1,I,6,S,7,L,13,0.757595,0.55326,0.419147
1,108,1,9,2,8,1,C,8,L,6,S,9,0.324981,0.786811,0.255699
1,109,8,1,8,9,1,I,7,L,1,S,9,0.751986,0.353921,0.266143
1,110,8,2,1,2,1,I,6,S,1,S,11,0.812271,0.381969,0.310263
1,111,2,9,1,2,1,C,7,L,1,S,11,0.407692,0.76766,0.312969
1,112,9,1,1,8,1,I,8,L,7,L,10,0.780671,0.421158,0.328786
1,113,2,8,9,1,1,I,6,S,8,L,13,0.560215,0.756124,0.423592
1,114,1,9,1,9,1,C,8,L,8,L,9,0.310559,0.806921,0.250596
1,115,2,1,2,1,1,C,1,S,1,S,10,0.755531,0.386508,0.292019
1,116,9,2,8,9,1,I,7,L,1,S,9,0.776281,0.339194,0.26331
1,117,8,2,8,2,1,C,6,S,6,S,9,0.803025,0.313457,0.251714
1,118,9,2,1,8,1,I,7,L,7,L,11,0.794354,0.451035,0.358282
1,119,8,9,9,1,0,I,1,S,8,L,12,0.781379,0.436097,0.340757
1,120,8,9,1,8,1,C,1,S,7,L,12,0.410161,0.794856,0.326019
1,121,9,1,9,1,1,C,8,L,8,L,8,0.799329,0.274834,0.219683
1,122,2,8,8,1,1,I,6,S,7,L,14,0.567617,0.781457,0.443568
1,123,8,2,1,8,1,I,6,S,7,L,13,0.788666,0.515952,0.406914
1,124,2,1,9,2,1,C,1,S,7,L,9,0.774856,0.335195,0.259728
1,125,2,1,8,9,1,I,1,S,1,S,10,0.764216,0.378424,0.289198
1,126,1,8,1,8,1,C,7,L,7,L,9,0.298712,0.824677,0.246341
1,127,8,2,9,8,1,C,6,S,1,S,10,0.804443,0.349924,0.281494
1,128,9,8,9,1,1,C,1,S,8,L,10,0.753542,0.392579,0.295825
1,129,8,2,8,1,1,C,6,S,7,L,9,0.820182,0.300936,0.246822
1,130,9,1,9,2,1,C,8,L,7,L,8,0.783317,0.286955,0.224777
1,131,8,2,9,1,1,C,6,S,8,L,9,0.80885,0.310192,0.250898
1,132,1,2,2,1,1,I,1,S,1,S,27,0.629858,0.777876,0.489952
1,133,8,9,1,9,1,C,1,S,8,L,11,0.407196,0.771962,0.31434
1,134,8,2,8,9,1,I,6,S,1,S,10,0.781756,0.365813,0.285976
