ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C
,,,,C,I,C-I,,,
,,,,,,,Mean,Mean,Mean
1,144,15,129,97.222222,81.944444,15.277778,10.514286,13.59322,3.078935
2,144,17,127,94.444444,81.944444,12.5,10.941176,14.491525,3.550349
3,144,22,122,88.888889,80.555556,8.333333,10.59375,13.12069,2.52694
4,144,24,120,83.333333,83.333333,0,9.8,11.783333,1.983333
5,144,21,123,95.833333,75,20.833333,11.086957,14.462963,3.376006
6,144,25,119,91.666667,73.611111,18.055556,11.333333,15.377358,4.044025
7,144,17,127,91.666667,84.722222,6.944444,10.121212,13.508197,3.386985
8,144,32,112,81.944444,73.611111,8.333333,11.118644,13.528302,2.409658
9,144,11,133,98.611111,86.111111,12.5,10.591549,13.354839,2.763289
10,144,12,132,97.222222,86.111111,11.111111,11.057143,14.193548,3.136406
11,144,38,106,77.777778,69.444444,8.333333,9.982143,13.18,3.197857
12,144,24,120,90.277778,76.388889,13.888889,11.276923,12.181818,0.904895
13,144,12,132,98.611111,84.722222,13.888889,11.169014,13.803279,2.634265
14,144,18,126,91.666667,83.333333,8.333333,10.378788,12.883333,2.504545
15,144,11,133,97.222222,87.5,9.722222,10.814286,14.126984,3.312698
16,144,7,137,98.611111,91.666667,6.944444,10.464789,14.060606,3.595817
17,144,14,130,91.666667,88.888889,2.777778,9.742424,13.40625,3.663826
18,144,22,122,94.444444,75,19.444444,11.088235,14.462963,3.374728
19,144,17,127,98.611111,77.777778,20.833333,11.225352,14.767857,3.542505
20,144,21,123,87.5,83.333333,4.166667,10.460317,12.766667,2.306349
21,144,38,106,79.166667,68.055556,11.111111,10.789474,11.653061,0.863588
22,144,14,130,97.222222,83.333333,13.888889,10.557143,12.8,2.242857
23,144,0,144,100,100,0,9.902778,13.069444,3.166667
24,144,16,128,91.666667,86.111111,5.555556,10.075758,12.629032,2.553275
25,144,18,126,94.444444,80.555556,13.888889,11.132353,13.913793,2.78144
26,144,1,143,100,98.611111,1.388889,10.416667,13.577465,3.160798
27,144,34,110,77.777778,75,2.777778,10.321429,12.87037,2.548942
28,144,16,128,94.444444,83.333333,11.111111,10.911765,13.55,2.638235
29,144,29,115,87.5,72.222222,15.277778,10.777778,12.153846,1.376068
30,144,15,129,98.611111,80.555556,18.055556,10.633803,13.293103,2.659301
TOTALS:,4320,561,3759,92.268519,81.759259,10.509259,10.649774,13.425255,2.775481
